# 大きい,小さい
# ペンギン > ふくろう >> 白鳥 > にわとり >> すずめ
ペンギン,1,ふくろう,2,白鳥,3,にわとり,4,すずめ,5
ウイスキー,1,日本酒,2,ビール,3,ハイボール,4,チューハイ,5
# 好きだ,嫌いだ
# ラーメン > カレー >> ハンバーガー > ピザ >> チャーハン
ラーメン,1,カレー,2,ハンバーガー,3,ピザ,4,チャーハン,5
# 脂っこい,脂っこくない
# ピザ > ラーメン >> ハンバーガー > チャーハン > カレー
ピザ,1,ラーメン,2,ハンバーガー,3,チャーハン,4,カレー,5
# 高価だ,安価だ
# 洗濯機 >> エアコン > カーナビ >> プリンタ >> カメラ
洗濯機,1,エアコン,2,カーナビ,3,プリンタ,4,カメラ,5
# うるさい,静かだ
# カーナビ > 洗濯機 >> プリンタ > カメラ >> エアコン
カーナビ,1,洗濯機,2,プリンタ,3,カメラ,4,エアコン,5
# 好きだ,嫌いだ
# 晴天 >> 雨 > 霜 > 霧 > 雪 > 雷 > 強風
晴天,1,雨,2,霜,3,霧,4,雪,5,雷,6,強風,7
# 珍しい,珍しくない
# 霧 > 雷 >> 霜 > 強風 > 晴天 >> 雪 > 雨
霧,1,雷,2,霜,3,強風,4,晴天,5,雪,6,雨,7
# 好きだ,嫌いだ
# 鶏肉 > ラム肉 >> 牛肉 > 馬肉 >> 豚肉
鶏肉,1,ラム肉,2,牛肉,3,馬肉,4,豚肉,5
# 高価だ,安価だ
# 馬肉 > ラム肉 >> 牛肉 >> 豚肉 >> 鶏肉
馬肉,1,ラム肉,2,牛肉,3,豚肉,4,鶏肉,5
# 有名だ,無名だ
# 銀閣寺 >> 薬師寺 > 善光寺 > 中尊寺 >> 増上寺 > 東寺
銀閣寺,1,薬師寺,2,善光寺,3,中尊寺,4,増上寺,5,東寺,6
# 立派だ,立派でない
# 銀閣寺 >> 東寺 > 善光寺 > 中尊寺 > 薬師寺 > 増上寺
銀閣寺,1,東寺,2,善光寺,3,中尊寺,4,薬師寺,5,増上寺,6
# メジャーだ,マイナーだ
# サッカー >> テニス > 卓球 > バスケ >> 野球 >> バレー > 相撲
サッカー,1,テニス,2,卓球,3,バスケ,4,野球,5,バレー,6,相撲,7
# 得意だ,苦手だ
# 卓球 >> テニス > バスケ > サッカー > 野球 > バレー > 相撲
卓球,1,テニス,2,バスケ,3,サッカー,4,野球,5,バレー,6,相撲,7
# 快適だ,不快だ
# 新幹線 >> タクシー >> 飛行機 > バス > 電車
新幹線,1,タクシー,2,飛行機,3,バス,4,電車,5
# 速い,遅い
# 飛行機 >> 新幹線 >> 電車 > タクシー >> バス
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,5
# 安全だ,危険だ
# 新幹線 > 電車 > 飛行機 >> バス > タクシー
新幹線,1,電車,2,飛行機,3,バス,4,タクシー,5
# 可愛い,可愛くない
# 北乃きい > 南明奈 > 優香 >> 梨花 > 吹石一恵 > 釈由美子 >> 友近
北乃きい,1,南明奈,2,優香,3,梨花,4,吹石一恵,5,釈由美子,6,友近,7
# 面白い,つまらない
# 友近 >> 梨花 > 優香 > 南明奈 >> 北乃きい > 吹石一恵 > 釈由美子
友近,1,梨花,2,優香,3,南明奈,4,北乃きい,5,吹石一恵,6,釈由美子,7
# 甘い,甘くない
# ショートケーキ > チョコレートケーキ >> ロールケーキ > チーズケーキ > シフォンケーキ
ショートケーキ,1,チョコレートケーキ,2,ロールケーキ,3,チーズケーキ,4,シフォンケーキ,5
# 好きだ,嫌いだ
# ショートケーキ = チョコレートケーキ > チーズケーキ >> ロールケーキ > シフォンケーキ
ショートケーキ,1,チョコレートケーキ,1,チーズケーキ,3,ロールケーキ,4,シフォンケーキ,5
# 美味しい,不味い
# マカロン > カステラ > マフィン >> ベーグル > スコーン
マカロン,1,カステラ,2,マフィン,3,ベーグル,4,スコーン,5
# おしゃれだ,おしゃれでない
# マカロン >> ベーグル > スコーン > マフィン >> カステラ
マカロン,1,ベーグル,2,スコーン,3,マフィン,4,カステラ,5
# 美味しい,不味い
# ココア > オレンジジュース >> 紅茶 > 緑茶 > 抹茶
ココア,1,オレンジジュース,2,紅茶,3,緑茶,4,抹茶,5
# 好きだ,嫌いだ
# 牛タン > 讃岐うどん >> お好み焼き > カツカレー >> 串かつ
牛タン,1,讃岐うどん,2,お好み焼き,3,カツカレー,4,串かつ,5
# 高価だ,安価だ
# 牛タン >> 串かつ > カツカレー >> 讃岐うどん > お好み焼き
牛タン,1,串かつ,2,カツカレー,3,讃岐うどん,4,お好み焼き,5
# 暖かい,寒い
# 沖縄 >> 福岡 >> 名古屋 >> 神戸 > 大阪 >> 東京 >> 札幌
沖縄,1,福岡,2,名古屋,3,神戸,4,大阪,5,東京,6,札幌,7
# 遠い,近い
# 沖縄 >> 札幌 >> 福岡 >> 大阪 > 名古屋 >> 神戸 >> 東京
沖縄,1,札幌,2,福岡,3,大阪,4,名古屋,5,神戸,6,東京,7
# ヘルシーだ,ヘルシーでない
# タイ料理 >> スペイン料理 > インド料理 > 韓国料理 >> 中華料理
タイ料理,1,スペイン料理,2,インド料理,3,韓国料理,4,中華料理,5
# 辛い,辛くない
# インド料理 > 中華料理 > タイ料理 > 韓国料理 >> スペイン料理
インド料理,1,中華料理,2,タイ料理,3,韓国料理,4,スペイン料理,5
# 優秀だ,優秀でない
# 宇宙飛行士 > 科学者 > 作曲者 >> 医師 >> 警察官
宇宙飛行士,1,科学者,2,作曲者,3,医師,4,警察官,5
# 過酷だ,過酷でない
# 宇宙飛行士 >> 警察官 > 作曲者 >> 科学者 > 医師
宇宙飛行士,1,警察官,2,作曲者,3,科学者,4,医師,5
# 面白い,つまらない
# スター・ウォーズ > 風の谷のナウシカ >> となりのトトロ >> 美女と野獣 > 不思議の国のアリス
スター・ウォーズ,1,風の谷のナウシカ,2,となりのトトロ,3,美女と野獣,4,不思議の国のアリス,5
# 新しい,古い
# スター・ウォーズ > となりのトトロ >> 風の谷のナウシカ > 美女と野獣 > 不思議の国のアリス
スター・ウォーズ,1,となりのトトロ,2,風の谷のナウシカ,3,美女と野獣,4,不思議の国のアリス,5
# 必須だ,無駄だ
# 数学 >> 国語 > 英語 >> 世界史 >> 体育
数学,1,国語,2,英語,3,世界史,4,体育,5
# 簡単だ,難しい
# 体育 >> 世界史 > 国語 >> 数学 > 英語
体育,1,世界史,2,国語,3,数学,4,英語,5
# 楽しい,楽しくない
# BBQ > サーフィン >> ドライブ > 釣り >> 読書 > ジョギング
BBQ,1,サーフィン,2,ドライブ,3,釣り,4,読書,5,ジョギング,6
# 有意義だ,有意義でない
# 読書 > ジョギング > BBQ >> 釣り > サーフィン >> ドライブ
読書,1,ジョギング,2,BBQ,3,釣り,4,サーフィン,5,ドライブ,6
# 手軽だ,手軽でない
# 読書 > ドライブ >> ジョギング > 釣り >> サーフィン > BBQ
読書,1,ドライブ,2,ジョギング,3,釣り,4,サーフィン,5,BBQ,6
# 面白い,つまらない
# Youtube > Twitter > ニコ動 >> インスタグラム > Facebook
Youtube,1,Twitter,2,ニコ動,3,インスタグラム,4,Facebook,5
# 便利だ,便利でない
# Twitter >> Youtube > インスタグラム > Facebook >> ニコ動
Twitter,1,Youtube,2,インスタグラム,3,Facebook,4,ニコ動,5
# 面白い,つまらない
# ドラゴンボール >> ジョジョ = エヴァ > GTO >> プリキュア > セーラームーン
ドラゴンボール,1,ジョジョ,2,エヴァ,2,GTO,4,プリキュア,5,セーラームーン,6
# 若い,若くない
# 鳩山由紀夫 >> 麻生太郎 > 安倍晋三 >> 小泉純一郎 >> 田中角栄
鳩山由紀夫,1,麻生太郎,2,安倍晋三,3,小泉純一郎,4,田中角栄,5
# 好きだ,嫌いだ
# 麻生太郎 > 小泉純一郎 >> 田中角栄 > 安倍晋三 >> 鳩山由紀夫
麻生太郎,1,小泉純一郎,2,田中角栄,3,安倍晋三,4,鳩山由紀夫,5
# 好調だ,不調だ
# グーグル >> アップル > マイクロソフト >> サムスン >> ヤフー
グーグル,1,アップル,2,マイクロソフト,3,サムスン,4,ヤフー,5
# 不可欠だ,不要だ
# アップル > マイクロソフト >> グーグル >> サムスン >> ヤフー
アップル,1,マイクロソフト,2,グーグル,3,サムスン,4,ヤフー,5
# 偉大だ,偉大でない
# エジソン > ニュートン >> 坂本龍馬 >> 宮沢賢治 >> 聖徳太子
エジソン,1,ニュートン,2,坂本龍馬,3,宮沢賢治,4,聖徳太子,5
# 好きだ,嫌いだ
# 坂本龍馬 > エジソン > ニュートン >> 宮沢賢治 >> 聖徳太子
坂本龍馬,1,エジソン,2,ニュートン,3,宮沢賢治,4,聖徳太子,5
# 面白い,つまらない
# 明石家さんま > ビートたけし >> タモリ > 所ジョージ >> 島田紳助
明石家さんま,1,ビートたけし,2,タモリ,3,所ジョージ,4,島田紳助,5
# 若い,若くない
# 所ジョージ >> 島田紳助 > タモリ >> ビートたけし > 明石家さんま
所ジョージ,1,島田紳助,2,タモリ,3,ビートたけし,4,明石家さんま,5
# 貴重だ,貴重でない
# 通天閣 > 出雲大社 >> 琵琶湖 > 大阪城 >> 皇居
通天閣,1,出雲大社,2,琵琶湖,3,大阪城,4,皇居,5
# 新しい,古い
# 江戸時代 >> 鎌倉時代 >> 平安時代 > 奈良時代 >> 弥生時代
江戸時代,1,鎌倉時代,2,平安時代,3,奈良時代,4,弥生時代,5
# 長い,短い
# 鎌倉時代 > 江戸時代 > 平安時代 > 奈良時代 > 弥生時代
鎌倉時代,1,江戸時代,2,平安時代,3,奈良時代,4,弥生時代,5
# 重要だ,重要でない
# ルックス > 優しさ > 服装 = 髪型 > 話し方
ルックス,1,優しさ,2,服装,3,髪型,3,話し方,5
# 若い,若くない
# 羽生結弦 >> ダルビッシュ >> 内村航平 > 錦織圭 >> イチロー
羽生結弦,1,ダルビッシュ,2,内村航平,3,錦織圭,4,イチロー,5
# 素晴らしい,素晴らしくない
# イチロー >> 錦織圭 > ダルビッシュ >> 内村航平 > 羽生結弦
イチロー,1,錦織圭,2,ダルビッシュ,3,内村航平,4,羽生結弦,5
