# 大きい,小さい
# 白鳥 > にわとり > ペンギン > ふくろう >> すずめ
白鳥,1,にわとり,2,ペンギン,3,ふくろう,4,すずめ,5
# ピザ > ハンバーガー > ラーメン > カレー > チャーハン
ピザ,1,ハンバーガー,2,ラーメン,3,カレー,4,チャーハン,5
# 脂っこい,脂っこくない
# ピザ > ハンバーガー > ラーメン > チャーハン > カレー
ピザ,1,ハンバーガー,2,ラーメン,3,チャーハン,4,カレー,5
# 高価だ,安価だ
# エアコン > プリンタ > 洗濯機 > カーナビ > カメラ
エアコン,1,プリンタ,2,洗濯機,3,カーナビ,4,カメラ,5
# うるさい,静かだ
# 洗濯機 > カーナビ > プリンタ > エアコン > カメラ
洗濯機,1,カーナビ,2,プリンタ,3,エアコン,4,カメラ,5
# 好きだ,嫌いだ
# 晴天 > 雪 > 霜 > 霧 > 雨 > 雷 > 強風
晴天,1,雪,2,霜,3,霧,4,雨,5,雷,6,強風,7
# 珍しい,珍しくない
# 霧 > 霜 > 雷 > 雪 > 晴天 > 強風 > 雨
霧,1,霜,2,雷,3,雪,4,晴天,5,強風,6,雨,7
# 好きだ,嫌いだ
# 鶏肉 > 牛肉 > 豚肉 > 馬肉 > ラム肉
鶏肉,1,牛肉,2,豚肉,3,馬肉,4,ラム肉,5
# 高価だ,安価だ
# ラム肉 > 馬肉 > 牛肉 > 鶏肉 > 豚肉
ラム肉,1,馬肉,2,牛肉,3,鶏肉,4,豚肉,5
# 有名だ,無名だ
# 銀閣寺 > 薬師寺 > 善光寺 > 中尊寺 > 増上寺 > 東寺
銀閣寺,1,薬師寺,2,善光寺,3,中尊寺,4,増上寺,5,東寺,6
# 立派だ,立派でない
# 銀閣寺 > 善光寺 > 薬師寺 > 中尊寺 > 東寺 > 増上寺
銀閣寺,1,善光寺,2,薬師寺,3,中尊寺,4,東寺,5,増上寺,6
# メジャーだ,マイナーだ
# 野球 > サッカー > テニス > 相撲 > バスケ > バレー > 卓球
野球,1,サッカー,2,テニス,3,相撲,4,バスケ,5,バレー,6,卓球,7
# 得意だ,苦手だ
# テニス > バレー > バスケ > 野球 > サッカー > 相撲 > 卓球
テニス,1,バレー,2,バスケ,3,野球,4,サッカー,5,相撲,6,卓球,7
# 快適だ,不快だ
# 新幹線 > タクシー > 飛行機 > 電車 > バス
新幹線,1,タクシー,2,飛行機,3,電車,4,バス,5
# 速い,遅い
# 飛行機 > 新幹線 > 電車 > タクシー > バス
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,5
# 安全だ,危険だ
# タクシー > バス > 新幹線 > 電車 > 飛行機
タクシー,1,バス,2,新幹線,3,電車,4,飛行機,5
# 可愛い,可愛くない
# 優香 > 吹石一恵 > 梨花 > 友近 > 北乃きい > 釈由美子 > 南明奈
優香,1,吹石一恵,2,梨花,3,友近,4,北乃きい,5,釈由美子,6,南明奈,7
# 面白い,つまらない
# 友近 > 優香 > 北乃きい > 釈由美子 > 南明奈 > 梨花 > 吹石一恵
友近,1,優香,2,北乃きい,3,釈由美子,4,南明奈,5,梨花,6,吹石一恵,7
# 甘い,甘くない
# チョコレートケーキ > ショートケーキ = ロールケーキ > チーズケーキ > シフォンケーキ
チョコレートケーキ,1,ショートケーキ,2,ロールケーキ,2,チーズケーキ,4,シフォンケーキ,5
# 好きだ,嫌いだ
# チョコレートケーキ > チーズケーキ > ショートケーキ > シフォンケーキ > ロールケーキ
チョコレートケーキ,1,チーズケーキ,2,ショートケーキ,3,シフォンケーキ,4,ロールケーキ,5
# 美味しい,不味い
# ベーグル > マカロン > マフィン > スコーン > カステラ
ベーグル,1,マカロン,2,マフィン,3,スコーン,4,カステラ,5
# おしゃれだ,おしゃれでない
# マカロン > ベーグル > マフィン > スコーン > カステラ
マカロン,1,ベーグル,2,マフィン,3,スコーン,4,カステラ,5
# 美味しい,不味い
# ココア > 紅茶 > 緑茶 > オレンジジュース > 抹茶
ココア,1,紅茶,2,緑茶,3,オレンジジュース,4,抹茶,5
# 好きだ,嫌いだ
# 串かつ > カツカレー > 牛タン > 讃岐うどん > お好み焼き
串かつ,1,カツカレー,2,牛タン,3,讃岐うどん,4,お好み焼き,5
# 高価だ,安価だ
# 牛タン > 串かつ > カツカレー > 讃岐うどん > お好み焼き
牛タン,1,串かつ,2,カツカレー,3,讃岐うどん,4,お好み焼き,5
# 暖かい,寒い
# 沖縄 >> 福岡 > 名古屋 > 神戸 > 大阪 = 東京 >> 札幌
沖縄,1,福岡,2,名古屋,3,神戸,4,大阪,5,東京,5,札幌,7
# 遠い,近い
# 沖縄 > 福岡 > 札幌 > 名古屋 > 神戸 > 大阪 > 東京
沖縄,1,福岡,2,札幌,3,名古屋,4,神戸,5,大阪,6,東京,7
# ヘルシーだ,ヘルシーでない
# 韓国料理 > タイ料理 > インド料理 > スペイン料理 > 中華料理
韓国料理,1,タイ料理,2,インド料理,3,スペイン料理,4,中華料理,5
# 辛い,辛くない
# 韓国料理 > タイ料理 > インド料理 > スペイン料理 > 中華料理
韓国料理,1,タイ料理,2,インド料理,3,スペイン料理,4,中華料理,5
# 優秀だ,優秀でない
# 宇宙飛行士 > 医師 > 科学者 = 警察官 > 作曲者
宇宙飛行士,1,医師,2,科学者,3,警察官,3,作曲者,5
# 過酷だ,過酷でない
# 宇宙飛行士 > 科学者 > 医師 = 警察官 > 作曲者
宇宙飛行士,1,科学者,2,医師,3,警察官,3,作曲者,5
# 面白い,つまらない
# となりのトトロ > 風の谷のナウシカ > 不思議の国のアリス > 美女と野獣 > スター・ウォーズ
となりのトトロ,1,風の谷のナウシカ,2,不思議の国のアリス,3,美女と野獣,4,スター・ウォーズ,5
# 新しい,古い
# 風の谷のナウシカ > となりのトトロ > 美女と野獣 > スター・ウォーズ > 不思議の国のアリス
風の谷のナウシカ,1,となりのトトロ,2,美女と野獣,3,スター・ウォーズ,4,不思議の国のアリス,5
# 必須だ,無駄だ
# 英語 > 体育 > 世界史 > 国語 > 数学
英語,1,体育,2,世界史,3,国語,4,数学,5
# 簡単だ,難しい
# 体育 > 国語 > 英語 > 世界史 > 数学
体育,1,国語,2,英語,3,世界史,4,数学,5
# 楽しい,楽しくない
# BBQ > ドライブ > ジョギング > 読書 > 釣り > サーフィン
BBQ,1,ドライブ,2,ジョギング,3,読書,4,釣り,5,サーフィン,6
# 有意義だ,有意義でない
# 読書 > ジョギング > ドライブ > 釣り > BBQ > サーフィン
読書,1,ジョギング,2,ドライブ,3,釣り,4,BBQ,5,サーフィン,6
# 手軽だ,手軽でない
# 読書 > ジョギング > ドライブ > 釣り > BBQ > サーフィン
読書,1,ジョギング,2,ドライブ,3,釣り,4,BBQ,5,サーフィン,6
# 面白い,つまらない
# Youtube > インスタグラム > Facebook >> Twitter > ニコ動
Youtube,1,インスタグラム,2,Facebook,3,Twitter,4,ニコ動,5
# 便利だ,便利でない
# Youtube > インスタグラム > Facebook >> Twitter > ニコ動
Youtube,1,インスタグラム,2,Facebook,3,Twitter,4,ニコ動,5
# 面白い,つまらない
# ドラゴンボール > セーラームーン >> プリキュア > GTO > ジョジョ > エヴァ
ドラゴンボール,1,セーラームーン,2,プリキュア,3,GTO,4,ジョジョ,5,エヴァ,6
# 若い,若くない
# 安倍晋三 > 小泉純一郎 > 麻生太郎 > 鳩山由紀夫 > 田中角栄
安倍晋三,1,小泉純一郎,2,麻生太郎,3,鳩山由紀夫,4,田中角栄,5
# 好きだ,嫌いだ
# 麻生太郎 > 小泉純一郎 > 田中角栄 > 安倍晋三 > 鳩山由紀夫
麻生太郎,1,小泉純一郎,2,田中角栄,3,安倍晋三,4,鳩山由紀夫,5
# 好調だ,不調だ
# グーグル > ヤフー > アップル > サムスン > マイクロソフト
グーグル,1,ヤフー,2,アップル,3,サムスン,4,マイクロソフト,5
# 不可欠だ,不要だ
# グーグル > ヤフー > マイクロソフト > サムスン > アップル
グーグル,1,ヤフー,2,マイクロソフト,3,サムスン,4,アップル,5
# 偉大だ,偉大でない
# エジソン > ニュートン > 坂本龍馬 > 宮沢賢治 > 聖徳太子
エジソン,1,ニュートン,2,坂本龍馬,3,宮沢賢治,4,聖徳太子,5
# 好きだ,嫌いだ
# エジソン > 宮沢賢治 > 坂本龍馬 > 聖徳太子 > ニュートン
エジソン,1,宮沢賢治,2,坂本龍馬,3,聖徳太子,4,ニュートン,5
# 面白い,つまらない
# タモリ >> 所ジョージ > 明石家さんま >> ビートたけし > 島田紳助
タモリ,1,所ジョージ,2,明石家さんま,3,ビートたけし,4,島田紳助,5
# 若い,若くない
# 島田紳助 > 所ジョージ > 明石家さんま > タモリ > ビートたけし
島田紳助,1,所ジョージ,2,明石家さんま,3,タモリ,4,ビートたけし,5
# 貴重だ,貴重でない
# 琵琶湖 > 出雲大社 > 皇居 > 大阪城 > 通天閣
琵琶湖,1,出雲大社,2,皇居,3,大阪城,4,通天閣,5
# 新しい,古い
# 江戸時代 > 弥生時代 > 鎌倉時代 > 奈良時代 > 平安時代
江戸時代,1,弥生時代,2,鎌倉時代,3,奈良時代,4,平安時代,5
# 長い,短い
# 江戸時代 > 鎌倉時代 > 平安時代 > 奈良時代 > 弥生時代
江戸時代,1,鎌倉時代,2,平安時代,3,奈良時代,4,弥生時代,5
# 重要だ,重要でない
# 優しさ >> 話し方 > 服装 > ルックス > 髪型
優しさ,1,話し方,2,服装,3,ルックス,4,髪型,5
# 若い,若くない
# 羽生結弦 > 錦織圭 > 内村航平 > ダルビッシュ > イチロー
羽生結弦,1,錦織圭,2,内村航平,3,ダルビッシュ,4,イチロー,5
# 素晴らしい,素晴らしくない
# イチロー > 錦織圭 > 内村航平 >> 羽生結弦 > ダルビッシュ
イチロー,1,錦織圭,2,内村航平,3,羽生結弦,4,ダルビッシュ,5
