# 大きい,小さい
# ペンギン > 白鳥 > ふくろう > にわとり > すずめ
ペンギン,1,白鳥,2,ふくろう,3,にわとり,4,すずめ,5
# 安全だ,危険だ
# 飛行機 > 新幹線 > 電車 > バス > タクシー
飛行機,1,新幹線,2,電車,3,バス,4,タクシー,5
# 可愛い,可愛くない
# 北乃きい > 南明奈 > 優香 > 吹石一恵 > 釈由美子 > 梨花 > 友近
北乃きい,1,南明奈,2,優香,3,吹石一恵,4,釈由美子,5,梨花,6,友近,7
# 面白い,つまらない
# 友近 > 北乃きい > 梨花 = 釈由美子 = 優香 = 南明奈 = 吹石一恵
友近,1,北乃きい,2,梨花,3,釈由美子,3,優香,3,南明奈,3,吹石一恵,3
# 甘い,甘くない
# チョコレートケーキ > ロールケーキ > ショートケーキ > シフォンケーキ = チーズケーキ
チョコレートケーキ,1,ロールケーキ,2,ショートケーキ,3,シフォンケーキ,4,チーズケーキ,4
# 好きだ,嫌いだ
# チーズケーキ > ロールケーキ > チョコレートケーキ = ショートケーキ > シフォンケーキ
チーズケーキ,1,ロールケーキ,2,チョコレートケーキ,3,ショートケーキ,3,シフォンケーキ,5
# 美味しい,不味い
# カステラ > マフィン > スコーン > ベーグル > マカロン
カステラ,1,マフィン,2,スコーン,3,ベーグル,4,マカロン,5
# おしゃれだ,おしゃれでない
# マカロン > ベーグル > スコーン = マフィン > カステラ
マカロン,1,ベーグル,2,スコーン,3,マフィン,3,カステラ,5
# 美味しい,不味い
# ココア > 紅茶 = 緑茶 > オレンジジュース > 抹茶
ココア,1,紅茶,2,緑茶,2,オレンジジュース,4,抹茶,5
# 好きだ,嫌いだ
# カツカレー > お好み焼き > 牛タン > 串かつ > 讃岐うどん
カツカレー,1,お好み焼き,2,牛タン,3,串かつ,4,讃岐うどん,5
# 高価だ,安価だ
# 牛タン > カツカレー > 串かつ > お好み焼き > 讃岐うどん
牛タン,1,カツカレー,2,串かつ,3,お好み焼き,4,讃岐うどん,5
# 暖かい,寒い
# 沖縄 > 福岡 > 大阪 = 神戸 > 名古屋 > 東京 > 札幌
沖縄,1,福岡,2,大阪,3,神戸,3,名古屋,5,東京,6,札幌,7
# 遠い,近い
# 沖縄 = 札幌 > 福岡 > 神戸 = 大阪 > 名古屋 > 東京
沖縄,1,札幌,1,福岡,3,神戸,4,大阪,4,名古屋,6,東京,7
# ヘルシーだ,ヘルシーでない
# タイ料理 > インド料理 > スペイン料理 > 韓国料理 > 中華料理
タイ料理,1,インド料理,2,スペイン料理,3,韓国料理,4,中華料理,5
# 辛い,辛くない
# タイ料理 > 韓国料理 > インド料理 = 中華料理 > スペイン料理
タイ料理,1,韓国料理,2,インド料理,3,中華料理,3,スペイン料理,5
# 優秀だ,優秀でない
# 宇宙飛行士 > 医師 = 科学者 > 作曲者 > 警察官
宇宙飛行士,1,医師,2,科学者,2,作曲者,4,警察官,5
# 過酷だ,過酷でない
# 宇宙飛行士 > 医師 > 警察官 > 科学者 > 作曲者
宇宙飛行士,1,医師,2,警察官,3,科学者,4,作曲者,5
# 面白い,つまらない
# 風の谷のナウシカ > スター・ウォーズ > となりのトトロ > 不思議の国のアリス > 美女と野獣
風の谷のナウシカ,1,スター・ウォーズ,2,となりのトトロ,3,不思議の国のアリス,4,美女と野獣,5
# 新しい,古い
# スター・ウォーズ > 風の谷のナウシカ > となりのトトロ > 不思議の国のアリス > 美女と野獣
スター・ウォーズ,1,風の谷のナウシカ,2,となりのトトロ,3,不思議の国のアリス,4,美女と野獣,5
# 必須だ,無駄だ
# 国語 > 英語 > 数学 > 世界史 > 体育
国語,1,英語,2,数学,3,世界史,4,体育,5
# 簡単だ,難しい
# 数学 > 体育 > 国語 > 英語 > 世界史
数学,1,体育,2,国語,3,英語,4,世界史,5
# 楽しい,楽しくない
# BBQ > ジョギング > ドライブ > 読書 > 釣り > サーフィン
BBQ,1,ジョギング,2,ドライブ,3,読書,4,釣り,5,サーフィン,6
# 有意義だ,有意義でない
# 読書 > ジョギング > ドライブ = 釣り = サーフィン = BBQ
読書,1,ジョギング,2,ドライブ,3,釣り,3,サーフィン,3,BBQ,3
# 手軽だ,手軽でない
# 読書 > ジョギング > ドライブ > BBQ >> サーフィン = 釣り
読書,1,ジョギング,2,ドライブ,3,BBQ,4,サーフィン,5,釣り,5
# 面白い,つまらない
# Youtube > インスタグラム > Facebook > Twitter > ニコ動
Youtube,1,インスタグラム,2,Facebook,3,Twitter,4,ニコ動,5
# 便利だ,便利でない
# Twitter > インスタグラム > Facebook > Youtube > ニコ動
Twitter,1,インスタグラム,2,Facebook,3,Youtube,4,ニコ動,5
# 面白い,つまらない
# ドラゴンボール > GTO > エヴァ > ジョジョ >> プリキュア > セーラームーン
ドラゴンボール,1,GTO,2,エヴァ,3,ジョジョ,4,プリキュア,5,セーラームーン,6
# 若い,若くない
# 安倍晋三 > 小泉純一郎 > 鳩山由紀夫 > 麻生太郎 > 田中角栄
安倍晋三,1,小泉純一郎,2,鳩山由紀夫,3,麻生太郎,4,田中角栄,5
# 好きだ,嫌いだ
# 小泉純一郎 > 麻生太郎 > 安倍晋三 = 田中角栄 >> 鳩山由紀夫
小泉純一郎,1,麻生太郎,2,安倍晋三,3,田中角栄,3,鳩山由紀夫,5
# 好調だ,不調だ
# アップル > ヤフー > マイクロソフト > グーグル > サムスン
アップル,1,ヤフー,2,マイクロソフト,3,グーグル,4,サムスン,5
# 不可欠だ,不要だ
# ヤフー > グーグル > マイクロソフト > アップル >> サムスン
ヤフー,1,グーグル,2,マイクロソフト,3,アップル,4,サムスン,5
# 偉大だ,偉大でない
# エジソン = ニュートン > 聖徳太子 > 坂本龍馬 > 宮沢賢治
エジソン,1,ニュートン,1,聖徳太子,3,坂本龍馬,4,宮沢賢治,5
# 好きだ,嫌いだ
# 坂本龍馬 > 聖徳太子 = 宮沢賢治 = エジソン = ニュートン
坂本龍馬,1,聖徳太子,2,宮沢賢治,2,エジソン,2,ニュートン,2
# 面白い,つまらない
# 明石家さんま > タモリ > 所ジョージ > 島田紳助 > ビートたけし
明石家さんま,1,タモリ,2,所ジョージ,3,島田紳助,4,ビートたけし,5
# 若い,若くない
# 島田紳助 > 所ジョージ > 明石家さんま > タモリ > ビートたけし
島田紳助,1,所ジョージ,2,明石家さんま,3,タモリ,4,ビートたけし,5
# 貴重だ,貴重でない
# 出雲大社 > 皇居 > 大阪城 > 琵琶湖 > 通天閣
出雲大社,1,皇居,2,大阪城,3,琵琶湖,4,通天閣,5
# 新しい,古い
# 弥生時代 > 奈良時代 > 平安時代 > 鎌倉時代 > 江戸時代
弥生時代,1,奈良時代,2,平安時代,3,鎌倉時代,4,江戸時代,5
# 長い,短い
# 江戸時代 > 弥生時代 > 鎌倉時代 > 平安時代 > 奈良時代
江戸時代,1,弥生時代,2,鎌倉時代,3,平安時代,4,奈良時代,5
# 重要だ,重要でない
# ルックス > 髪型 > 優しさ > 話し方 > 服装
ルックス,1,髪型,2,優しさ,3,話し方,4,服装,5
# 若い,若くない
# 羽生結弦 > 錦織圭 > ダルビッシュ > 内村航平 > イチロー
羽生結弦,1,錦織圭,2,ダルビッシュ,3,内村航平,4,イチロー,5
# 素晴らしい,素晴らしくない
# イチロー > 内村航平 > 錦織圭 > 羽生結弦 = ダルビッシュ
イチロー,1,内村航平,2,錦織圭,3,羽生結弦,4,ダルビッシュ,4
