# 大きい,小さい
# ペンギン > ふくろう > 白鳥 > にわとり >> すずめ
ペンギン,1,ふくろう,2,白鳥,3,にわとり,4,すずめ,5
# サッカー > テニス > バレー > バスケ >> 野球 > 卓球 > 相撲
サッカー,1,テニス,2,バレー,3,バスケ,4,野球,5,卓球,6,相撲,7
# 得意だ,苦手だ
# サッカー > バスケ > テニス > 野球 > 相撲 > バレー >> 卓球
サッカー,1,バスケ,2,テニス,3,野球,4,相撲,5,バレー,6,卓球,7
# 快適だ,不快だ
# 新幹線 > タクシー > 飛行機 >> 電車 > バス
新幹線,1,タクシー,2,飛行機,3,電車,4,バス,5
# 速い,遅い
# 飛行機 >> 新幹線 >> 電車 > タクシー > バス
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,5
# 安全だ,危険だ
# タクシー > バス > 電車 > 新幹線 > 飛行機
タクシー,1,バス,2,電車,3,新幹線,4,飛行機,5
# 可愛い,可愛くない
# 吹石一恵 > 北乃きい > 南明奈 > 優香 > 釈由美子 >> 梨花 > 友近
吹石一恵,1,北乃きい,2,南明奈,3,優香,4,釈由美子,5,梨花,6,友近,7
# 面白い,つまらない
# 友近 > 梨花 >> 釈由美子 > 南明奈 > 優香 >> 北乃きい > 吹石一恵
友近,1,梨花,2,釈由美子,3,南明奈,4,優香,5,北乃きい,6,吹石一恵,7
# 甘い,甘くない
# チョコレートケーキ > ショートケーキ > ロールケーキ > チーズケーキ > シフォンケーキ
チョコレートケーキ,1,ショートケーキ,2,ロールケーキ,3,チーズケーキ,4,シフォンケーキ,5
# 好きだ,嫌いだ
# チョコレートケーキ > ショートケーキ > チーズケーキ > ロールケーキ > シフォンケーキ
チョコレートケーキ,1,ショートケーキ,2,チーズケーキ,3,ロールケーキ,4,シフォンケーキ,5
# 美味しい,不味い
# マフィン > カステラ > ベーグル >> スコーン > マカロン
マフィン,1,カステラ,2,ベーグル,3,スコーン,4,マカロン,5
# おしゃれだ,おしゃれでない
# マカロン > スコーン > マフィン > ベーグル >> カステラ
マカロン,1,スコーン,2,マフィン,3,ベーグル,4,カステラ,5
# 美味しい,不味い
# 緑茶 > 紅茶 > オレンジジュース > ココア >> 抹茶
緑茶,1,紅茶,2,オレンジジュース,3,ココア,4,抹茶,5
# 好きだ,嫌いだ
# 牛タン > 串かつ > カツカレー > 讃岐うどん > お好み焼き
牛タン,1,串かつ,2,カツカレー,3,讃岐うどん,4,お好み焼き,5
# 高価だ,安価だ
# 牛タン >> お好み焼き > カツカレー > 串かつ > 讃岐うどん
牛タン,1,お好み焼き,2,カツカレー,3,串かつ,4,讃岐うどん,5
# 暖かい,寒い
# 沖縄 >> 福岡 > 大阪 > 神戸 > 名古屋 > 東京 >> 札幌
沖縄,1,福岡,2,大阪,3,神戸,4,名古屋,5,東京,6,札幌,7
# 遠い,近い
# 沖縄 > 札幌 >> 福岡 > 東京 > 名古屋 >> 大阪 > 神戸
沖縄,1,札幌,2,福岡,3,東京,4,名古屋,5,大阪,6,神戸,7
# ヘルシーだ,ヘルシーでない
# タイ料理 > スペイン料理 > 韓国料理 > インド料理 > 中華料理
タイ料理,1,スペイン料理,2,韓国料理,3,インド料理,4,中華料理,5
# 辛い,辛くない
# 韓国料理 > インド料理 >> タイ料理 > 中華料理 > スペイン料理
韓国料理,1,インド料理,2,タイ料理,3,中華料理,4,スペイン料理,5
# 優秀だ,優秀でない
# 科学者 > 医師 > 宇宙飛行士 >> 作曲者 > 警察官
科学者,1,医師,2,宇宙飛行士,3,作曲者,4,警察官,5
# 過酷だ,過酷でない
# 医師 > 警察官 > 作曲者 >> 宇宙飛行士 > 科学者
医師,1,警察官,2,作曲者,3,宇宙飛行士,4,科学者,5
# 面白い,つまらない
# 風の谷のナウシカ > となりのトトロ > スター・ウォーズ >> 不思議の国のアリス > 美女と野獣
風の谷のナウシカ,1,となりのトトロ,2,スター・ウォーズ,3,不思議の国のアリス,4,美女と野獣,5
# 新しい,古い
# スター・ウォーズ >> となりのトトロ > 風の谷のナウシカ > 美女と野獣 >> 不思議の国のアリス
スター・ウォーズ,1,となりのトトロ,2,風の谷のナウシカ,3,美女と野獣,4,不思議の国のアリス,5
# 必須だ,無駄だ
# 英語 > 数学 > 国語 > 世界史 >> 体育
英語,1,数学,2,国語,3,世界史,4,体育,5
# 簡単だ,難しい
# 体育 >> 国語 > 世界史 > 英語 >> 数学
体育,1,国語,2,世界史,3,英語,4,数学,5
# 楽しい,楽しくない
# ドライブ > ＢＢＱ > サーフィン > 読書 >> 釣り > ジョギング
ドライブ,1,ＢＢＱ,2,サーフィン,3,読書,4,釣り,5,ジョギング,6
# 有意義だ,有意義でない
# ジョギング > 読書 >> ドライブ > ＢＢＱ > サーフィン > 釣り
ジョギング,1,読書,2,ドライブ,3,ＢＢＱ,4,サーフィン,5,釣り,6
# 手軽だ,手軽でない
# 読書 > ドライブ > ジョギング >> ＢＢＱ > 釣り > サーフィン
読書,1,ドライブ,2,ジョギング,3,ＢＢＱ,4,釣り,5,サーフィン,6
# 面白い,つまらない
# Ｙｏｕｔｕｂｅ > Ｔｗｉｔｔｅｒ >> インスタグラム > Ｆａｃｅｂｏｏｋ > ニコ動
Ｙｏｕｔｕｂｅ,1,Ｔｗｉｔｔｅｒ,2,インスタグラム,3,Ｆａｃｅｂｏｏｋ,4,ニコ動,5
# 便利だ,便利でない
# Ｙｏｕｔｕｂｅ > Ｔｗｉｔｔｅｒ > Ｆａｃｅｂｏｏｋ > インスタグラム >> ニコ動
Ｙｏｕｔｕｂｅ,1,Ｔｗｉｔｔｅｒ,2,Ｆａｃｅｂｏｏｋ,3,インスタグラム,4,ニコ動,5
# 面白い,つまらない
# エヴァ > ＧＴＯ > ドラゴンボール >> ジョジョ > セーラームーン > プリキュア
エヴァ,1,ＧＴＯ,2,ドラゴンボール,3,ジョジョ,4,セーラームーン,5,プリキュア,6
# 若い,若くない
# 安倍晋三 > 鳩山由紀夫 > 麻生太郎 > 小泉純一郎 >> 田中角栄
安倍晋三,1,鳩山由紀夫,2,麻生太郎,3,小泉純一郎,4,田中角栄,5
# 好きだ,嫌いだ
# 小泉純一郎 > 麻生太郎 > 安倍晋三 > 田中角栄 >> 鳩山由紀夫
小泉純一郎,1,麻生太郎,2,安倍晋三,3,田中角栄,4,鳩山由紀夫,5
# 好調だ,不調だ
# グーグル > アップル > マイクロソフト > ヤフー >> サムスン
グーグル,1,アップル,2,マイクロソフト,3,ヤフー,4,サムスン,5
# 不可欠だ,不要だ
# グーグル > サムスン >> ヤフー > アップル > マイクロソフト
グーグル,1,サムスン,2,ヤフー,3,アップル,4,マイクロソフト,5
# 偉大だ,偉大でない
# 坂本龍馬 > エジソン > ニュートン > 聖徳太子 > 宮沢賢治
坂本龍馬,1,エジソン,2,ニュートン,3,聖徳太子,4,宮沢賢治,5
# 好きだ,嫌いだ
# 坂本龍馬 > ニュートン > 宮沢賢治 > エジソン > 聖徳太子
坂本龍馬,1,ニュートン,2,宮沢賢治,3,エジソン,4,聖徳太子,5
# 面白い,つまらない
# 明石家さんま > ビートたけし > 島田紳助 >> タモリ > 所ジョージ
明石家さんま,1,ビートたけし,2,島田紳助,3,タモリ,4,所ジョージ,5
# 若い,若くない
# 島田紳助 > 明石家さんま > 所ジョージ > ビートたけし > タモリ
島田紳助,1,明石家さんま,2,所ジョージ,3,ビートたけし,4,タモリ,5
# 貴重だ,貴重でない
# 皇居 > 出雲大社 > 琵琶湖 > 大阪城 >> 通天閣
皇居,1,出雲大社,2,琵琶湖,3,大阪城,4,通天閣,5
# 印象的だ,印象的でない
# 皇居 > 出雲大社 > 大阪城 >> 琵琶湖 > 通天閣
皇居,1,出雲大社,2,大阪城,3,琵琶湖,4,通天閣,5
# 新しい,古い
# 江戸時代 >> 奈良時代 > 平安時代 > 鎌倉時代 >> 弥生時代
江戸時代,1,奈良時代,2,平安時代,3,鎌倉時代,4,弥生時代,5
# 長い,短い
# 弥生時代 >> 江戸時代 > 平安時代 > 鎌倉時代 > 奈良時代
弥生時代,1,江戸時代,2,平安時代,3,鎌倉時代,4,奈良時代,5
# 重要だ,重要でない
# ルックス > 優しさ >> 髪型 > 服装 > 話し方
ルックス,1,優しさ,2,髪型,3,服装,4,話し方,5
# 若い,若くない
# 羽生結弦 > 錦織圭 > ダルビッシュ > 内村航平 >> イチロー
羽生結弦,1,錦織圭,2,ダルビッシュ,3,内村航平,4,イチロー,5
# 素晴らしい,素晴らしくない
# イチロー > 錦織圭 > ダルビッシュ > 羽生結弦 > 内村航平
イチロー,1,錦織圭,2,ダルビッシュ,3,羽生結弦,4,内村航平,5
