# 大きい,小さい
# 白鳥 > ペンギン > ふくろう > すずめ > にわとり
白鳥,1,ペンギン,2,ふくろう,3,すずめ,4,にわとり,5
テニス,1,バレー,2,卓球,3,野球,4,サッカー,5,バスケ,6,相撲,7
# 快適だ,不快だ
# 新幹線 > タクシー > 電車 > 飛行機 > バス
新幹線,1,タクシー,2,電車,3,飛行機,4,バス,5
# 速い,遅い
# 飛行機 > 新幹線 > 電車 > タクシー > バス
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,5
# 安全だ,危険だ
# 新幹線 > 電車 > バス > タクシー > 飛行機
新幹線,1,電車,2,バス,3,タクシー,4,飛行機,5
# 可愛い,可愛くない
# 南明奈 > 吹石一恵 > 優香 > 北乃きい > 釈由美子 > 友近 > 梨花
南明奈,1,吹石一恵,2,優香,3,北乃きい,4,釈由美子,5,友近,6,梨花,7
# 面白い,つまらない
# 友近 > 梨花 > 優香 > 南明奈 > 北乃きい > 釈由美子 > 吹石一恵
友近,1,梨花,2,優香,3,南明奈,4,北乃きい,5,釈由美子,6,吹石一恵,7
# 甘い,甘くない
# チョコレートケーキ > ショートケーキ > チーズケーキ > ロールケーキ > シフォンケーキ
チョコレートケーキ,1,ショートケーキ,2,チーズケーキ,3,ロールケーキ,4,シフォンケーキ,5
# 好きだ,嫌いだ
# チーズケーキ > チョコレートケーキ > ショートケーキ > ロールケーキ > シフォンケーキ
チーズケーキ,1,チョコレートケーキ,2,ショートケーキ,3,ロールケーキ,4,シフォンケーキ,5
# 美味しい,不味い
# マフィン > マカロン > スコーン > ベーグル > カステラ
マフィン,1,マカロン,2,スコーン,3,ベーグル,4,カステラ,5
# おしゃれだ,おしゃれでない
# マフィン > スコーン > マカロン > ベーグル > カステラ
マフィン,1,スコーン,2,マカロン,3,ベーグル,4,カステラ,5
# 美味しい,不味い
# ココア > オレンジジュース > 緑茶 > 抹茶 > 紅茶
ココア,1,オレンジジュース,2,緑茶,3,抹茶,4,紅茶,5
# 好きだ,嫌いだ
# 牛タン > お好み焼き > カツカレー > 讃岐うどん > 串かつ
牛タン,1,お好み焼き,2,カツカレー,3,讃岐うどん,4,串かつ,5
# 高価だ,安価だ
# 牛タン > カツカレー > 讃岐うどん > お好み焼き > 串かつ
牛タン,1,カツカレー,2,讃岐うどん,3,お好み焼き,4,串かつ,5
# 暖かい,寒い
# 沖縄 > 福岡 > 神戸 > 大阪 > 名古屋 > 東京 > 札幌
沖縄,1,福岡,2,神戸,3,大阪,4,名古屋,5,東京,6,札幌,7
# 遠い,近い
# 沖縄 > 札幌 > 東京 > 福岡 > 名古屋 > 大阪 > 神戸
沖縄,1,札幌,2,東京,3,福岡,4,名古屋,5,大阪,6,神戸,7
# ヘルシーだ,ヘルシーでない
# 韓国料理 > スペイン料理 > タイ料理 > インド料理 > 中華料理
韓国料理,1,スペイン料理,2,タイ料理,3,インド料理,4,中華料理,5
# 辛い,辛くない
# 韓国料理 > インド料理 > スペイン料理 > 中華料理 > タイ料理
韓国料理,1,インド料理,2,スペイン料理,3,中華料理,4,タイ料理,5
# 優秀だ,優秀でない
# 宇宙飛行士 > 科学者 > 医師 > 作曲者 > 警察官
宇宙飛行士,1,科学者,2,医師,3,作曲者,4,警察官,5
# 過酷だ,過酷でない
# 宇宙飛行士 > 医師 > 警察官 > 科学者 > 作曲者
宇宙飛行士,1,医師,2,警察官,3,科学者,4,作曲者,5
# 面白い,つまらない
# となりのトトロ > 風の谷のナウシカ > 不思議の国のアリス > 美女と野獣 > スター・ウォーズ
となりのトトロ,1,風の谷のナウシカ,2,不思議の国のアリス,3,美女と野獣,4,スター・ウォーズ,5
# 新しい,古い
# となりのトトロ > スター・ウォーズ > 風の谷のナウシカ > 美女と野獣 > 不思議の国のアリス
となりのトトロ,1,スター・ウォーズ,2,風の谷のナウシカ,3,美女と野獣,4,不思議の国のアリス,5
# 必須だ,無駄だ
# 数学 > 国語 > 英語 > 体育 > 世界史
数学,1,国語,2,英語,3,体育,4,世界史,5
# 簡単だ,難しい
# 数学 > 英語 > 体育 > 国語 > 世界史
数学,1,英語,2,体育,3,国語,4,世界史,5
# 楽しい,楽しくない
# ＢＢＱ > 釣り > 読書 > ドライブ > ジョギング > サーフィン
ＢＢＱ,1,釣り,2,読書,3,ドライブ,4,ジョギング,5,サーフィン,6
# 有意義だ,有意義でない
# 読書 > 釣り > ＢＢＱ > ジョギング > ドライブ > サーフィン
読書,1,釣り,2,ＢＢＱ,3,ジョギング,4,ドライブ,5,サーフィン,6
# 手軽だ,手軽でない
# 読書 > ジョギング > ドライブ > ＢＢＱ > 釣り > サーフィン
読書,1,ジョギング,2,ドライブ,3,ＢＢＱ,4,釣り,5,サーフィン,6
# 面白い,つまらない
# Ｙｏｕｔｕｂｅ > Ｆａｃｅｂｏｏｋ > ニコ動 > インスタグラム > Ｔｗｉｔｔｅｒ
Ｙｏｕｔｕｂｅ,1,Ｆａｃｅｂｏｏｋ,2,ニコ動,3,インスタグラム,4,Ｔｗｉｔｔｅｒ,5
# 便利だ,便利でない
# Ｙｏｕｔｕｂｅ > Ｆａｃｅｂｏｏｋ > Ｔｗｉｔｔｅｒ > ニコ動 > インスタグラム
Ｙｏｕｔｕｂｅ,1,Ｆａｃｅｂｏｏｋ,2,Ｔｗｉｔｔｅｒ,3,ニコ動,4,インスタグラム,5
# 面白い,つまらない
# ドラゴンボール > ジョジョ > エヴァ > ＧＴＯ > プリキュア > セーラームーン
ドラゴンボール,1,ジョジョ,2,エヴァ,3,ＧＴＯ,4,プリキュア,5,セーラームーン,6
# 若い,若くない
# 鳩山由紀夫 > 安倍晋三 > 麻生太郎 > 小泉純一郎 > 田中角栄
鳩山由紀夫,1,安倍晋三,2,麻生太郎,3,小泉純一郎,4,田中角栄,5
# 好きだ,嫌いだ
# 安倍晋三 > 麻生太郎 > 小泉純一郎 > 田中角栄 > 鳩山由紀夫
安倍晋三,1,麻生太郎,2,小泉純一郎,3,田中角栄,4,鳩山由紀夫,5
# 好調だ,不調だ
# マイクロソフト > アップル > グーグル > ヤフー > サムスン
マイクロソフト,1,アップル,2,グーグル,3,ヤフー,4,サムスン,5
# 不可欠だ,不要だ
# マイクロソフト > アップル > グーグル > ヤフー > サムスン
マイクロソフト,1,アップル,2,グーグル,3,ヤフー,4,サムスン,5
# 偉大だ,偉大でない
# エジソン > ニュートン > 聖徳太子 > 坂本龍馬 > 宮沢賢治
エジソン,1,ニュートン,2,聖徳太子,3,坂本龍馬,4,宮沢賢治,5
# 好きだ,嫌いだ
# 坂本龍馬 > エジソン > ニュートン > 聖徳太子 > 宮沢賢治
坂本龍馬,1,エジソン,2,ニュートン,3,聖徳太子,4,宮沢賢治,5
# 面白い,つまらない
# 明石家さんま > 島田紳助 > ビートたけし > 所ジョージ > タモリ
明石家さんま,1,島田紳助,2,ビートたけし,3,所ジョージ,4,タモリ,5
# 若い,若くない
# 島田紳助 > 所ジョージ > 明石家さんま > ビートたけし > タモリ
島田紳助,1,所ジョージ,2,明石家さんま,3,ビートたけし,4,タモリ,5
# 貴重だ,貴重でない
# 皇居 > 出雲大社 > 通天閣 > 大阪城 > 琵琶湖
皇居,1,出雲大社,2,通天閣,3,大阪城,4,琵琶湖,5
# 印象的だ,印象的でない
# 通天閣 > 大阪城 > 皇居 > 出雲大社 > 琵琶湖
通天閣,1,大阪城,2,皇居,3,出雲大社,4,琵琶湖,5
# 新しい,古い
# 弥生時代 > 奈良時代 > 平安時代 > 鎌倉時代 > 江戸時代
弥生時代,1,奈良時代,2,平安時代,3,鎌倉時代,4,江戸時代,5
# 長い,短い
# 平安時代 > 鎌倉時代 > 弥生時代 > 江戸時代 > 奈良時代
平安時代,1,鎌倉時代,2,弥生時代,3,江戸時代,4,奈良時代,5
# 重要だ,重要でない
# 優しさ > 服装 > ルックス > 髪型 > 話し方
優しさ,1,服装,2,ルックス,3,髪型,4,話し方,5
# 若い,若くない
# 羽生結弦 > 内村航平 > ダルビッシュ > 錦織圭 > イチロー
羽生結弦,1,内村航平,2,ダルビッシュ,3,錦織圭,4,イチロー,5
# 素晴らしい,素晴らしくない
# イチロー > ダルビッシュ > 錦織圭 > 内村航平 > 羽生結弦
イチロー,1,ダルビッシュ,2,錦織圭,3,内村航平,4,羽生結弦,5
