# 大きい,小さい
# ペンギン > 白鳥 > にわとり > ふくろう > すずめ
ペンギン,1,白鳥,2,にわとり,3,ふくろう,4,すずめ,5
# 好きだ,嫌いだ
# 牛肉 > 鶏肉 > 豚肉 > ラム肉 = 馬肉
牛肉,1,鶏肉,2,豚肉,3,ラム肉,4,馬肉,4
# 高価だ,安価だ
# 馬肉 > 牛肉 > ラム肉 > 豚肉 > 鶏肉
馬肉,1,牛肉,2,ラム肉,3,豚肉,4,鶏肉,5
# 有名だ,無名だ
# 銀閣寺 > 中尊寺 > 東寺 > 薬師寺 > 善光寺 > 増上寺
銀閣寺,1,中尊寺,2,東寺,3,薬師寺,4,善光寺,5,増上寺,6
# 立派だ,立派でない
# 東寺 > 中尊寺 > 善光寺 > 薬師寺 > 銀閣寺 > 増上寺
東寺,1,中尊寺,2,善光寺,3,薬師寺,4,銀閣寺,5,増上寺,6
# メジャーだ,マイナーだ
# サッカー > 野球 > テニス > 相撲 > バスケ > 卓球 > バレー
サッカー,1,野球,2,テニス,3,相撲,4,バスケ,5,卓球,6,バレー,7
# 得意だ,苦手だ
# バスケ > テニス > 卓球 > バレー > サッカー > 相撲 > 野球
バスケ,1,テニス,2,卓球,3,バレー,4,サッカー,5,相撲,6,野球,7
# 快適だ,不快だ
# 新幹線 > 飛行機 > 電車 > バス > タクシー
新幹線,1,飛行機,2,電車,3,バス,4,タクシー,5
# 速い,遅い
# 飛行機 > 新幹線 > 電車 > タクシー > バス
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,5
# 安全だ,危険だ
# バス > タクシー > 新幹線 > 飛行機 > 電車
バス,1,タクシー,2,新幹線,3,飛行機,4,電車,5
# 可愛い,可愛くない
# 南明奈 > 北乃きい > 優香 > 吹石一恵 > 釈由美子 > 梨花 >> 友近
南明奈,1,北乃きい,2,優香,3,吹石一恵,4,釈由美子,5,梨花,6,友近,7
# 面白い,つまらない
# 友近 > 梨花 > 南明奈 > 優香 > 北乃きい > 吹石一恵 > 釈由美子
友近,1,梨花,2,南明奈,3,優香,4,北乃きい,5,吹石一恵,6,釈由美子,7
# 甘い,甘くない
# チョコレートケーキ > ショートケーキ > ロールケーキ > シフォンケーキ > チーズケーキ
チョコレートケーキ,1,ショートケーキ,2,ロールケーキ,3,シフォンケーキ,4,チーズケーキ,5
# 好きだ,嫌いだ
# シフォンケーキ > ショートケーキ > チーズケーキ > チョコレートケーキ > ロールケーキ
シフォンケーキ,1,ショートケーキ,2,チーズケーキ,3,チョコレートケーキ,4,ロールケーキ,5
# 美味しい,不味い
# カステラ > マフィン > スコーン > マカロン > ベーグル
カステラ,1,マフィン,2,スコーン,3,マカロン,4,ベーグル,5
# おしゃれだ,おしゃれでない
# マカロン > ベーグル > スコーン > マフィン > カステラ
マカロン,1,ベーグル,2,スコーン,3,マフィン,4,カステラ,5
# 美味しい,不味い
# 紅茶 > ココア > 抹茶 > 緑茶 > オレンジジュース
紅茶,1,ココア,2,抹茶,3,緑茶,4,オレンジジュース,5
# 好きだ,嫌いだ
# お好み焼き > 串かつ > 牛タン > カツカレー > 讃岐うどん
お好み焼き,1,串かつ,2,牛タン,3,カツカレー,4,讃岐うどん,5
# 高価だ,安価だ
# 牛タン > カツカレー > 串かつ > お好み焼き > 讃岐うどん
牛タン,1,カツカレー,2,串かつ,3,お好み焼き,4,讃岐うどん,5
# 暖かい,寒い
# 沖縄 > 福岡 > 大阪 > 神戸 > 名古屋 > 東京 >> 札幌
沖縄,1,福岡,2,大阪,3,神戸,4,名古屋,5,東京,6,札幌,7
# 遠い,近い
# 沖縄 = 札幌 > 福岡 > 神戸 > 大阪 > 名古屋 > 東京
沖縄,1,札幌,1,福岡,3,神戸,4,大阪,5,名古屋,6,東京,7
# ヘルシーだ,ヘルシーでない
# タイ料理 > インド料理 > 韓国料理 > スペイン料理 > 中華料理
タイ料理,1,インド料理,2,韓国料理,3,スペイン料理,4,中華料理,5
# 辛い,辛くない
# タイ料理 > インド料理 > 韓国料理 > 中華料理 > スペイン料理
タイ料理,1,インド料理,2,韓国料理,3,中華料理,4,スペイン料理,5
# 優秀だ,優秀でない
# 宇宙飛行士 > 科学者 > 医師 > 警察官 > 作曲者
宇宙飛行士,1,科学者,2,医師,3,警察官,4,作曲者,5
# 過酷だ,過酷でない
# 宇宙飛行士 > 医師 > 警察官 > 科学者 > 作曲者
宇宙飛行士,1,医師,2,警察官,3,科学者,4,作曲者,5
# 面白い,つまらない
# となりのトトロ > 風の谷のナウシカ >> 美女と野獣 >> 不思議の国のアリス > スター・ウォーズ
となりのトトロ,1,風の谷のナウシカ,2,美女と野獣,3,不思議の国のアリス,4,スター・ウォーズ,5
# 新しい,古い
# スター・ウォーズ > 風の谷のナウシカ > となりのトトロ > 美女と野獣 > 不思議の国のアリス
スター・ウォーズ,1,風の谷のナウシカ,2,となりのトトロ,3,美女と野獣,4,不思議の国のアリス,5
# 必須だ,無駄だ
# 国語 > 英語 > 世界史 > 数学 > 体育
国語,1,英語,2,世界史,3,数学,4,体育,5
# 簡単だ,難しい
# 体育 > 国語 > 世界史 > 英語 > 数学
体育,1,国語,2,世界史,3,英語,4,数学,5
# 楽しい,楽しくない
# サーフィン > ドライブ > 読書 > BBQ > ジョギング > 釣り
サーフィン,1,ドライブ,2,読書,3,BBQ,4,ジョギング,5,釣り,6
# 有意義だ,有意義でない
# 読書 > ジョギング > ドライブ > BBQ > サーフィン > 釣り
読書,1,ジョギング,2,ドライブ,3,BBQ,4,サーフィン,5,釣り,6
# 手軽だ,手軽でない
# 読書 > ジョギング > ドライブ >> BBQ > サーフィン > 釣り
読書,1,ジョギング,2,ドライブ,3,BBQ,4,サーフィン,5,釣り,6
# 面白い,つまらない
# Youtube > インスタグラム > Twitter > Facebook > ニコ動
Youtube,1,インスタグラム,2,Twitter,3,Facebook,4,ニコ動,5
# 便利だ,便利でない
# Youtube > Facebook > Twitter > ニコ動 > インスタグラム
Youtube,1,Facebook,2,Twitter,3,ニコ動,4,インスタグラム,5
# 面白い,つまらない
# ドラゴンボール > エヴァ > セーラームーン > プリキュア > GTO >> ジョジョ
ドラゴンボール,1,エヴァ,2,セーラームーン,3,プリキュア,4,GTO,5,ジョジョ,6
# 若い,若くない
# 安倍晋三 > 鳩山由紀夫 > 小泉純一郎 > 麻生太郎 > 田中角栄
安倍晋三,1,鳩山由紀夫,2,小泉純一郎,3,麻生太郎,4,田中角栄,5
# 好きだ,嫌いだ
# 小泉純一郎 > 麻生太郎 > 安倍晋三 > 田中角栄 > 鳩山由紀夫
小泉純一郎,1,麻生太郎,2,安倍晋三,3,田中角栄,4,鳩山由紀夫,5
# 好調だ,不調だ
# アップル > ヤフー > マイクロソフト > グーグル > サムスン
アップル,1,ヤフー,2,マイクロソフト,3,グーグル,4,サムスン,5
# 不可欠だ,不要だ
# ヤフー > グーグル > アップル > マイクロソフト > サムスン
ヤフー,1,グーグル,2,アップル,3,マイクロソフト,4,サムスン,5
# 偉大だ,偉大でない
# エジソン > ニュートン > 聖徳太子 > 坂本龍馬 > 宮沢賢治
エジソン,1,ニュートン,2,聖徳太子,3,坂本龍馬,4,宮沢賢治,5
# 好きだ,嫌いだ
# 宮沢賢治 > 聖徳太子 > 坂本龍馬 > エジソン > ニュートン
宮沢賢治,1,聖徳太子,2,坂本龍馬,3,エジソン,4,ニュートン,5
# 面白い,つまらない
# 明石家さんま >> 所ジョージ > タモリ > ビートたけし >> 島田紳助
明石家さんま,1,所ジョージ,2,タモリ,3,ビートたけし,4,島田紳助,5
# 若い,若くない
# 島田紳助 > 所ジョージ > 明石家さんま > ビートたけし > タモリ
島田紳助,1,所ジョージ,2,明石家さんま,3,ビートたけし,4,タモリ,5
# 貴重だ,貴重でない
# 皇居 > 出雲大社 > 琵琶湖 > 大阪城 > 通天閣
皇居,1,出雲大社,2,琵琶湖,3,大阪城,4,通天閣,5
# 新しい,古い
# 江戸時代 > 鎌倉時代 > 平安時代 > 奈良時代 > 弥生時代
江戸時代,1,鎌倉時代,2,平安時代,3,奈良時代,4,弥生時代,5
# 長い,短い
# 鎌倉時代 > 江戸時代 > 平安時代 > 奈良時代 > 弥生時代
鎌倉時代,1,江戸時代,2,平安時代,3,奈良時代,4,弥生時代,5
# 重要だ,重要でない
# ルックス > 話し方 > 優しさ > 服装 > 髪型
ルックス,1,話し方,2,優しさ,3,服装,4,髪型,5
# 若い,若くない
# 羽生結弦 > 錦織圭 > ダルビッシュ > 内村航平 > イチロー
羽生結弦,1,錦織圭,2,ダルビッシュ,3,内村航平,4,イチロー,5
# 素晴らしい,素晴らしくない
# 錦織圭 > 羽生結弦 > 内村航平 > イチロー > ダルビッシュ
錦織圭,1,羽生結弦,2,内村航平,3,イチロー,4,ダルビッシュ,5
