# 大きい,小さい
# ペンギン > ふくろう > 白鳥 > にわとり > すずめ
ペンギン,1,ふくろう,2,白鳥,3,にわとり,4,すずめ,5
雪,1,雷,2,霧,3,霜,4,強風,5,雨,6,晴天,7
# 好きだ,嫌いだ
# 鶏肉 > 牛肉 > 豚肉 > ラム肉 > 馬肉
鶏肉,1,牛肉,2,豚肉,3,ラム肉,4,馬肉,5
# 高価だ,安価だ
# 馬肉 > ラム肉 > 牛肉 > 鶏肉 > 豚肉
馬肉,1,ラム肉,2,牛肉,3,鶏肉,4,豚肉,5
# 有名だ,無名だ
# 銀閣寺 > 善光寺 = 薬師寺 = 中尊寺 = 増上寺 = 東寺
銀閣寺,1,善光寺,2,薬師寺,2,中尊寺,2,増上寺,2,東寺,2
# 立派だ,立派でない
# 中尊寺 > 東寺 > 薬師寺 > 善光寺 > 増上寺 > 銀閣寺
中尊寺,1,東寺,2,薬師寺,3,善光寺,4,増上寺,5,銀閣寺,6
# メジャーだ,マイナーだ
# サッカー > テニス > バレー > 卓球 > 野球 > バスケ > 相撲
サッカー,1,テニス,2,バレー,3,卓球,4,野球,5,バスケ,6,相撲,7
# 得意だ,苦手だ
# 卓球 = バスケ = テニス = バレー = サッカー = 野球 = 相撲
卓球,1,バスケ,1,テニス,1,バレー,1,サッカー,1,野球,1,相撲,1
# 快適だ,不快だ
# タクシー > 新幹線 > バス > 電車 > 飛行機
タクシー,1,新幹線,2,バス,3,電車,4,飛行機,5
# 速い,遅い
# 飛行機 >> 新幹線 >> 電車 >> タクシー >> バス
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,5
# 安全だ,危険だ
# 新幹線 > 電車 > バス > タクシー > 飛行機
新幹線,1,電車,2,バス,3,タクシー,4,飛行機,5
# 可愛い,可愛くない
# 北乃きい > 優香 > 釈由美子 > 南明奈 > 吹石一恵 > 梨花 > 友近
北乃きい,1,優香,2,釈由美子,3,南明奈,4,吹石一恵,5,梨花,6,友近,7
# 面白い,つまらない
# 北乃きい = 友近 = 梨花 = 釈由美子 = 優香 = 南明奈 = 吹石一恵
北乃きい,1,友近,1,梨花,1,釈由美子,1,優香,1,南明奈,1,吹石一恵,1
# 甘い,甘くない
# チョコレートケーキ > ショートケーキ > ロールケーキ > シフォンケーキ > チーズケーキ
チョコレートケーキ,1,ショートケーキ,2,ロールケーキ,3,シフォンケーキ,4,チーズケーキ,5
# 好きだ,嫌いだ
# チョコレートケーキ > チーズケーキ > ショートケーキ > ロールケーキ > シフォンケーキ
チョコレートケーキ,1,チーズケーキ,2,ショートケーキ,3,ロールケーキ,4,シフォンケーキ,5
# 美味しい,不味い
# カステラ > マフィン > スコーン > ベーグル > マカロン
カステラ,1,マフィン,2,スコーン,3,ベーグル,4,マカロン,5
# おしゃれだ,おしゃれでない
# マカロン > スコーン > ベーグル > マフィン > カステラ
マカロン,1,スコーン,2,ベーグル,3,マフィン,4,カステラ,5
# 美味しい,不味い
# ココア > 紅茶 > 抹茶 > オレンジジュース > 緑茶
ココア,1,紅茶,2,抹茶,3,オレンジジュース,4,緑茶,5
# 好きだ,嫌いだ
# カツカレー >> お好み焼き > 串かつ > 讃岐うどん >> 牛タン
カツカレー,1,お好み焼き,2,串かつ,3,讃岐うどん,4,牛タン,5
# 高価だ,安価だ
# 牛タン > カツカレー > お好み焼き > 串かつ > 讃岐うどん
牛タン,1,カツカレー,2,お好み焼き,3,串かつ,4,讃岐うどん,5
# 暖かい,寒い
# 沖縄 >> 名古屋 > 神戸 > 大阪 > 福岡 > 東京 >> 札幌
沖縄,1,名古屋,2,神戸,3,大阪,4,福岡,5,東京,6,札幌,7
# 遠い,近い
# 沖縄 > 札幌 >> 東京 >> 名古屋 >> 大阪 >> 神戸 >> 福岡
沖縄,1,札幌,2,東京,3,名古屋,4,大阪,5,神戸,6,福岡,7
# ヘルシーだ,ヘルシーでない
# インド料理 > スペイン料理 > タイ料理 > 中華料理 > 韓国料理
インド料理,1,スペイン料理,2,タイ料理,3,中華料理,4,韓国料理,5
# 辛い,辛くない
# タイ料理 > インド料理 > 韓国料理 > 中華料理 > スペイン料理
タイ料理,1,インド料理,2,韓国料理,3,中華料理,4,スペイン料理,5
# 優秀だ,優秀でない
# 宇宙飛行士 > 科学者 > 医師 > 警察官 > 作曲者
宇宙飛行士,1,科学者,2,医師,3,警察官,4,作曲者,5
# 過酷だ,過酷でない
# 宇宙飛行士 > 警察官 > 医師 > 科学者 > 作曲者
宇宙飛行士,1,警察官,2,医師,3,科学者,4,作曲者,5
# 面白い,つまらない
# 風の谷のナウシカ > となりのトトロ >> 不思議の国のアリス > スター・ウォーズ > 美女と野獣
風の谷のナウシカ,1,となりのトトロ,2,不思議の国のアリス,3,スター・ウォーズ,4,美女と野獣,5
# 新しい,古い
# となりのトトロ >> 風の谷のナウシカ >> スター・ウォーズ > 美女と野獣 > 不思議の国のアリス
となりのトトロ,1,風の谷のナウシカ,2,スター・ウォーズ,3,美女と野獣,4,不思議の国のアリス,5
# 必須だ,無駄だ
# 国語 > 英語 > 数学 > 世界史 > 体育
国語,1,英語,2,数学,3,世界史,4,体育,5
# 簡単だ,難しい
# 数学 > 世界史 > 国語 > 英語 > 体育
数学,1,世界史,2,国語,3,英語,4,体育,5
# 楽しい,楽しくない
# 読書 > ＢＢＱ > ジョギング > ドライブ > サーフィン > 釣り
読書,1,ＢＢＱ,2,ジョギング,3,ドライブ,4,サーフィン,5,釣り,6
# 有意義だ,有意義でない
# ジョギング > 読書 >> 釣り > ＢＢＱ > サーフィン > ドライブ
ジョギング,1,読書,2,釣り,3,ＢＢＱ,4,サーフィン,5,ドライブ,6
# 手軽だ,手軽でない
# 読書 > ジョギング >> ドライブ > ＢＢＱ > 釣り > サーフィン
読書,1,ジョギング,2,ドライブ,3,ＢＢＱ,4,釣り,5,サーフィン,6
# 面白い,つまらない
# Ｙｏｕｔｕｂｅ > ニコ動 > Ｔｗｉｔｔｅｒ > インスタグラム > Ｆａｃｅｂｏｏｋ
Ｙｏｕｔｕｂｅ,1,ニコ動,2,Ｔｗｉｔｔｅｒ,3,インスタグラム,4,Ｆａｃｅｂｏｏｋ,5
# 便利だ,便利でない
# Ｙｏｕｔｕｂｅ > Ｔｗｉｔｔｅｒ > ニコ動 > Ｆａｃｅｂｏｏｋ > インスタグラム
Ｙｏｕｔｕｂｅ,1,Ｔｗｉｔｔｅｒ,2,ニコ動,3,Ｆａｃｅｂｏｏｋ,4,インスタグラム,5
# 面白い,つまらない
# ドラゴンボール > ジョジョ > エヴァ > セーラームーン > プリキュア > ＧＴＯ
ドラゴンボール,1,ジョジョ,2,エヴァ,3,セーラームーン,4,プリキュア,5,ＧＴＯ,6
# 若い,若くない
# 安倍晋三 > 麻生太郎 > 鳩山由紀夫 > 小泉純一郎 > 田中角栄
安倍晋三,1,麻生太郎,2,鳩山由紀夫,3,小泉純一郎,4,田中角栄,5
# 好きだ,嫌いだ
# 安倍晋三 > 麻生太郎 > 田中角栄 > 小泉純一郎 >> 鳩山由紀夫
安倍晋三,1,麻生太郎,2,田中角栄,3,小泉純一郎,4,鳩山由紀夫,5
# 好調だ,不調だ
# アップル > グーグル > ヤフー > マイクロソフト > サムスン
アップル,1,グーグル,2,ヤフー,3,マイクロソフト,4,サムスン,5
# 不可欠だ,不要だ
# マイクロソフト > グーグル > ヤフー > アップル >> サムスン
マイクロソフト,1,グーグル,2,ヤフー,3,アップル,4,サムスン,5
# 偉大だ,偉大でない
# エジソン > ニュートン > 坂本龍馬 > 宮沢賢治 > 聖徳太子
エジソン,1,ニュートン,2,坂本龍馬,3,宮沢賢治,4,聖徳太子,5
# 好きだ,嫌いだ
# エジソン > ニュートン > 坂本龍馬 > 宮沢賢治 > 聖徳太子
エジソン,1,ニュートン,2,坂本龍馬,3,宮沢賢治,4,聖徳太子,5
# 面白い,つまらない
# タモリ > 所ジョージ > ビートたけし > 明石家さんま >> 島田紳助
タモリ,1,所ジョージ,2,ビートたけし,3,明石家さんま,4,島田紳助,5
# 若い,若くない
# ビートたけし = 明石家さんま = タモリ = 所ジョージ = 島田紳助
ビートたけし,1,明石家さんま,1,タモリ,1,所ジョージ,1,島田紳助,1
# 貴重だ,貴重でない
# 琵琶湖 > 大阪城 > 出雲大社 > 皇居 > 通天閣
琵琶湖,1,大阪城,2,出雲大社,3,皇居,4,通天閣,5
# 印象的だ,印象的でない
# 大阪城 > 出雲大社 > 琵琶湖 > 通天閣 > 皇居
大阪城,1,出雲大社,2,琵琶湖,3,通天閣,4,皇居,5
# 新しい,古い
# 弥生時代 >> 奈良時代 > 平安時代 >> 鎌倉時代 >> 江戸時代
弥生時代,1,奈良時代,2,平安時代,3,鎌倉時代,4,江戸時代,5
# 長い,短い
# 弥生時代 > 鎌倉時代 > 奈良時代 > 江戸時代 > 平安時代
弥生時代,1,鎌倉時代,2,奈良時代,3,江戸時代,4,平安時代,5
# 重要だ,重要でない
# 優しさ > 話し方 > ルックス > 服装 > 髪型
優しさ,1,話し方,2,ルックス,3,服装,4,髪型,5
# 若い,若くない
# 羽生結弦 > 錦織圭 > 内村航平 > ダルビッシュ > イチロー
羽生結弦,1,錦織圭,2,内村航平,3,ダルビッシュ,4,イチロー,5
# 素晴らしい,素晴らしくない
# イチロー > 内村航平 > 羽生結弦 > 錦織圭 > ダルビッシュ
イチロー,1,内村航平,2,羽生結弦,3,錦織圭,4,ダルビッシュ,5
