# 大きい,小さい
# 白鳥 > ふくろう > ペンギン > にわとり > すずめ
白鳥,1,ふくろう,2,ペンギン,3,にわとり,4,すずめ,5
ウイスキー,1,日本酒,2,ビール,3,ハイボール,4,チューハイ,5
# 好きだ,嫌いだ
# ピザ >> カレー > ラーメン > チャーハン > ハンバーガー
ピザ,1,カレー,2,ラーメン,3,チャーハン,4,ハンバーガー,5
# 脂っこい,脂っこくない
# ハンバーガー > ラーメン > ピザ > カレー > チャーハン
ハンバーガー,1,ラーメン,2,ピザ,3,カレー,4,チャーハン,5
# 高価だ,安価だ
# 洗濯機 > エアコン > プリンタ > カメラ > カーナビ
洗濯機,1,エアコン,2,プリンタ,3,カメラ,4,カーナビ,5
# うるさい,静かだ
# 洗濯機 >> プリンタ > エアコン >> カメラ > カーナビ
洗濯機,1,プリンタ,2,エアコン,3,カメラ,4,カーナビ,5
# 好きだ,嫌いだ
# 晴天 > 雪 >> 雨 = 雷 = 霧 = 強風 = 霜
晴天,1,雪,2,雨,3,雷,3,霧,3,強風,3,霜,3
# 珍しい,珍しくない
# 霜 > 霧 > 雪 > 雷 > 強風 > 雨 > 晴天
霜,1,霧,2,雪,3,雷,4,強風,5,雨,6,晴天,7
# 好きだ,嫌いだ
# 牛肉 > 豚肉 > ラム肉 > 鶏肉 > 馬肉
牛肉,1,豚肉,2,ラム肉,3,鶏肉,4,馬肉,5
# 高価だ,安価だ
# 馬肉 > 牛肉 > ラム肉 > 豚肉 > 鶏肉
馬肉,1,牛肉,2,ラム肉,3,豚肉,4,鶏肉,5
# 有名だ,無名だ
# 銀閣寺 > 増上寺 > 善光寺 > 薬師寺 > 中尊寺 > 東寺
銀閣寺,1,増上寺,2,善光寺,3,薬師寺,4,中尊寺,5,東寺,6
# 立派だ,立派でない
# 銀閣寺 > 中尊寺 > 薬師寺 > 善光寺 > 増上寺 = 東寺
銀閣寺,1,中尊寺,2,薬師寺,3,善光寺,4,増上寺,5,東寺,5
# メジャーだ,マイナーだ
# サッカー >> テニス >> バスケ >> バレー >> 卓球 >> 野球 >> 相撲
サッカー,1,テニス,2,バスケ,3,バレー,4,卓球,5,野球,6,相撲,7
# 得意だ,苦手だ
# サッカー > バスケ > バレー > 野球 > テニス > 卓球 > 相撲
サッカー,1,バスケ,2,バレー,3,野球,4,テニス,5,卓球,6,相撲,7
# 快適だ,不快だ
# 新幹線 > タクシー > 電車 > バス > 飛行機
新幹線,1,タクシー,2,電車,3,バス,4,飛行機,5
# 速い,遅い
# 飛行機 >> 新幹線 >> 電車 >> タクシー >> バス
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,5
# 安全だ,危険だ
# 新幹線 >> 飛行機 > 電車 > タクシー > バス
新幹線,1,飛行機,2,電車,3,タクシー,4,バス,5
# 可愛い,可愛くない
# 梨花 > 友近 > 北乃きい = 釈由美子 = 優香 = 吹石一恵 >> 南明奈
梨花,1,友近,2,北乃きい,3,釈由美子,3,優香,3,吹石一恵,3,南明奈,7
# 面白い,つまらない
# 友近 > 梨花 > 優香 >> 北乃きい = 釈由美子 = 南明奈 = 吹石一恵
友近,1,梨花,2,優香,3,北乃きい,4,釈由美子,4,南明奈,4,吹石一恵,4
# 甘い,甘くない
# チョコレートケーキ > ショートケーキ > ロールケーキ >> シフォンケーキ > チーズケーキ
チョコレートケーキ,1,ショートケーキ,2,ロールケーキ,3,シフォンケーキ,4,チーズケーキ,5
# 好きだ,嫌いだ
# チョコレートケーキ > チーズケーキ > ショートケーキ > シフォンケーキ > ロールケーキ
チョコレートケーキ,1,チーズケーキ,2,ショートケーキ,3,シフォンケーキ,4,ロールケーキ,5
# 美味しい,不味い
# カステラ > マカロン > マフィン > ベーグル > スコーン
カステラ,1,マカロン,2,マフィン,3,ベーグル,4,スコーン,5
# おしゃれだ,おしゃれでない
# マカロン = スコーン >> マフィン > カステラ > ベーグル
マカロン,1,スコーン,1,マフィン,3,カステラ,4,ベーグル,5
# 美味しい,不味い
# 抹茶 >> 紅茶 > ココア > オレンジジュース > 緑茶
抹茶,1,紅茶,2,ココア,3,オレンジジュース,4,緑茶,5
# 好きだ,嫌いだ
# 讃岐うどん > カツカレー >> 牛タン > 串かつ > お好み焼き
讃岐うどん,1,カツカレー,2,牛タン,3,串かつ,4,お好み焼き,5
# 高価だ,安価だ
# 牛タン > カツカレー > お好み焼き > 讃岐うどん > 串かつ
牛タン,1,カツカレー,2,お好み焼き,3,讃岐うどん,4,串かつ,5
# 暖かい,寒い
# 沖縄 >> 福岡 > 大阪 > 神戸 > 名古屋 > 東京 > 札幌
沖縄,1,福岡,2,大阪,3,神戸,4,名古屋,5,東京,6,札幌,7
# 遠い,近い
# 沖縄 >> 札幌 > 福岡 > 神戸 > 大阪 > 名古屋 > 東京
沖縄,1,札幌,2,福岡,3,神戸,4,大阪,5,名古屋,6,東京,7
# ヘルシーだ,ヘルシーでない
# タイ料理 > 韓国料理 > インド料理 > スペイン料理 > 中華料理
タイ料理,1,韓国料理,2,インド料理,3,スペイン料理,4,中華料理,5
# 辛い,辛くない
# 韓国料理 > インド料理 >> タイ料理 > 中華料理 > スペイン料理
韓国料理,1,インド料理,2,タイ料理,3,中華料理,4,スペイン料理,5
# 優秀だ,優秀でない
# 科学者 > 医師 >> 宇宙飛行士 > 作曲者 >> 警察官
科学者,1,医師,2,宇宙飛行士,3,作曲者,4,警察官,5
# 過酷だ,過酷でない
# 宇宙飛行士 > 科学者 >> 医師 > 警察官 >> 作曲者
宇宙飛行士,1,科学者,2,医師,3,警察官,4,作曲者,5
# 面白い,つまらない
# 風の谷のナウシカ >> スター・ウォーズ > となりのトトロ > 不思議の国のアリス > 美女と野獣
風の谷のナウシカ,1,スター・ウォーズ,2,となりのトトロ,3,不思議の国のアリス,4,美女と野獣,5
# 新しい,古い
# となりのトトロ > 風の谷のナウシカ > スター・ウォーズ >> 美女と野獣 >> 不思議の国のアリス
となりのトトロ,1,風の谷のナウシカ,2,スター・ウォーズ,3,美女と野獣,4,不思議の国のアリス,5
# 必須だ,無駄だ
# 国語 > 英語 >> 世界史 = 体育 = 数学
国語,1,英語,2,世界史,3,体育,3,数学,3
# 簡単だ,難しい
# 世界史 >> 国語 >> 英語 = 体育 >> 数学
世界史,1,国語,2,英語,3,体育,3,数学,5
# 楽しい,楽しくない
# 読書 = ジョギング > BBQ >> ドライブ > 釣り > サーフィン
読書,1,ジョギング,1,BBQ,3,ドライブ,4,釣り,5,サーフィン,6
# 有意義だ,有意義でない
# 読書 >> ジョギング >> BBQ > ドライブ > 釣り > サーフィン
読書,1,ジョギング,2,BBQ,3,ドライブ,4,釣り,5,サーフィン,6
# 手軽だ,手軽でない
# 読書 >> ジョギング > BBQ >> 釣り > ドライブ >> サーフィン
読書,1,ジョギング,2,BBQ,3,釣り,4,ドライブ,5,サーフィン,6
# 面白い,つまらない
# Youtube > インスタグラム > Facebook > Twitter > ニコ動
Youtube,1,インスタグラム,2,Facebook,3,Twitter,4,ニコ動,5
# 便利だ,便利でない
# Youtube >> インスタグラム = Facebook = Twitter = ニコ動
Youtube,1,インスタグラム,2,Facebook,2,Twitter,2,ニコ動,2
# 面白い,つまらない
# ジョジョ >> ドラゴンボール >> セーラームーン >> エヴァ > プリキュア > GTO
ジョジョ,1,ドラゴンボール,2,セーラームーン,3,エヴァ,4,プリキュア,5,GTO,6
# 若い,若くない
# 安倍晋三 >> 鳩山由紀夫 > 麻生太郎 > 小泉純一郎 >> 田中角栄
安倍晋三,1,鳩山由紀夫,2,麻生太郎,3,小泉純一郎,4,田中角栄,5
# 好きだ,嫌いだ
# 麻生太郎 > 安倍晋三 = 小泉純一郎 > 田中角栄 >> 鳩山由紀夫
麻生太郎,1,安倍晋三,2,小泉純一郎,2,田中角栄,4,鳩山由紀夫,5
# 好調だ,不調だ
# マイクロソフト > グーグル >> アップル > ヤフー >> サムスン
マイクロソフト,1,グーグル,2,アップル,3,ヤフー,4,サムスン,5
# 不可欠だ,不要だ
# マイクロソフト >> アップル >> グーグル >> サムスン > ヤフー
マイクロソフト,1,アップル,2,グーグル,3,サムスン,4,ヤフー,5
# 偉大だ,偉大でない
# 坂本龍馬 >> エジソン >> 聖徳太子 >> ニュートン >> 宮沢賢治
坂本龍馬,1,エジソン,2,聖徳太子,3,ニュートン,4,宮沢賢治,5
# 好きだ,嫌いだ
# 坂本龍馬 >> 聖徳太子 >> エジソン > ニュートン > 宮沢賢治
坂本龍馬,1,聖徳太子,2,エジソン,3,ニュートン,4,宮沢賢治,5
# 面白い,つまらない
# 明石家さんま >> ビートたけし > タモリ >> 所ジョージ >> 島田紳助
明石家さんま,1,ビートたけし,2,タモリ,3,所ジョージ,4,島田紳助,5
# 若い,若くない
# 所ジョージ > 明石家さんま > 島田紳助 > ビートたけし > タモリ
所ジョージ,1,明石家さんま,2,島田紳助,3,ビートたけし,4,タモリ,5
# 貴重だ,貴重でない
# 皇居 >> 出雲大社 >> 琵琶湖 > 大阪城 >> 通天閣
皇居,1,出雲大社,2,琵琶湖,3,大阪城,4,通天閣,5
# 新しい,古い
# 江戸時代 >> 鎌倉時代 >> 平安時代 >> 奈良時代 >> 弥生時代
江戸時代,1,鎌倉時代,2,平安時代,3,奈良時代,4,弥生時代,5
# 長い,短い
# 弥生時代 >> 江戸時代 >> 鎌倉時代 > 平安時代 > 奈良時代
弥生時代,1,江戸時代,2,鎌倉時代,3,平安時代,4,奈良時代,5
# 重要だ,重要でない
# 話し方 > ルックス > 服装 > 髪型 > 優しさ
話し方,1,ルックス,2,服装,3,髪型,4,優しさ,5
# 若い,若くない
# 羽生結弦 > 錦織圭 > ダルビッシュ > 内村航平 >> イチロー
羽生結弦,1,錦織圭,2,ダルビッシュ,3,内村航平,4,イチロー,5
# 素晴らしい,素晴らしくない
# 錦織圭 >> イチロー > 内村航平 >> 羽生結弦 >> ダルビッシュ
錦織圭,1,イチロー,2,内村航平,3,羽生結弦,4,ダルビッシュ,5
