# 大きい,小さい
# 白鳥 > にわとり > ペンギン > ふくろう > すずめ
白鳥,1,にわとり,2,ペンギン,3,ふくろう,4,すずめ,5
キャノン,1,エプソン,2,富士通,3,日立製作所,4,東芝,5,パナソニック,6,ソニー,7
# 裕福だ,貧乏だ
# イギリス > アメリカ > ロシア > スペイン > 中国 > タイ > インド
イギリス,1,アメリカ,2,ロシア,3,スペイン,4,中国,5,タイ,6,インド,7
# 広大だ,せまい
# ロシア > 中国 > アメリカ > インド > スペイン > イギリス > タイ
ロシア,1,中国,2,アメリカ,3,インド,4,スペイン,5,イギリス,6,タイ,7
# 暖かい,寒い
# タイ > インド > スペイン > アメリカ > イギリス > 中国 >> ロシア
タイ,1,インド,2,スペイン,3,アメリカ,4,イギリス,5,中国,6,ロシア,7
# 好調だ,不調だ
# トヨタ > ダイハツ > ヤマハ > マツダ > ホンダ
トヨタ,1,ダイハツ,2,ヤマハ,3,マツダ,4,ホンダ,5
# 有名だ,無名だ
# トヨタ > ホンダ > ヤマハ > ダイハツ > マツダ
トヨタ,1,ホンダ,2,ヤマハ,3,ダイハツ,4,マツダ,5
# 美味しい,不味い
# ビール > チューハイ > 日本酒 > ハイボール > ウイスキー
ビール,1,チューハイ,2,日本酒,3,ハイボール,4,ウイスキー,5
# 高価だ,安価だ
# ウイスキー > 日本酒 > ハイボール > ビール > チューハイ
ウイスキー,1,日本酒,2,ハイボール,3,ビール,4,チューハイ,5
# 好きだ,嫌いだ
# ラーメン = カレー > ハンバーガー > ピザ >> チャーハン
ラーメン,1,カレー,1,ハンバーガー,3,ピザ,4,チャーハン,5
# 脂っこい,脂っこくない
# ピザ > ハンバーガー > ラーメン > カレー > チャーハン
ピザ,1,ハンバーガー,2,ラーメン,3,カレー,4,チャーハン,5
# 高価だ,安価だ
# 洗濯機 > エアコン > カーナビ > カメラ > プリンタ
洗濯機,1,エアコン,2,カーナビ,3,カメラ,4,プリンタ,5
# うるさい,静かだ
# 洗濯機 > プリンタ > エアコン > カーナビ > カメラ
洗濯機,1,プリンタ,2,エアコン,3,カーナビ,4,カメラ,5
# 好きだ,嫌いだ
# 晴天 > 霧 > 霜 > 雨 > 雪 > 強風 > 雷
晴天,1,霧,2,霜,3,雨,4,雪,5,強風,6,雷,7
# 珍しい,珍しくない
# 霧 > 霜 > 雪 > 雷 > 強風 > 雨 > 晴天
霧,1,霜,2,雪,3,雷,4,強風,5,雨,6,晴天,7
# 好きだ,嫌いだ
# 牛肉 > 鶏肉 > 豚肉 > ラム肉 > 馬肉
牛肉,1,鶏肉,2,豚肉,3,ラム肉,4,馬肉,5
# 高価だ,安価だ
# 牛肉 > ラム肉 > 馬肉 > 豚肉 > 鶏肉
牛肉,1,ラム肉,2,馬肉,3,豚肉,4,鶏肉,5
# 有名だ,無名だ
# 銀閣寺 > 善光寺 > 東寺 > 増上寺 > 中尊寺 > 薬師寺
銀閣寺,1,善光寺,2,東寺,3,増上寺,4,中尊寺,5,薬師寺,6
# 立派だ,立派でない
# 銀閣寺 > 善光寺 > 薬師寺 > 東寺 > 中尊寺 > 増上寺
銀閣寺,1,善光寺,2,薬師寺,3,東寺,4,中尊寺,5,増上寺,6
# メジャーだ,マイナーだ
# 野球 > 相撲 > サッカー > テニス > バレー > バスケ > 卓球
野球,1,相撲,2,サッカー,3,テニス,4,バレー,5,バスケ,6,卓球,7
# 得意だ,苦手だ
# サッカー > 野球 > 卓球 > テニス > バスケ > 相撲 = バレー
サッカー,1,野球,2,卓球,3,テニス,4,バスケ,5,相撲,6,バレー,6
# 快適だ,不快だ
# 新幹線 > 飛行機 > タクシー > 電車 > バス
新幹線,1,飛行機,2,タクシー,3,電車,4,バス,5
# 速い,遅い
# 飛行機 > 新幹線 > 電車 >> タクシー > バス
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,5
# 安全だ,危険だ
# 新幹線 > 電車 > 飛行機 > バス > タクシー
新幹線,1,電車,2,飛行機,3,バス,4,タクシー,5
# 可愛い,可愛くない
# 北乃きい > 優香 > 南明奈 > 吹石一恵 >> 釈由美子 >> 梨花 >> 友近
北乃きい,1,優香,2,南明奈,3,吹石一恵,4,釈由美子,5,梨花,6,友近,7
# 面白い,つまらない
# 友近 >> 優香 > 南明奈 > 釈由美子 > 吹石一恵 > 北乃きい > 梨花
友近,1,優香,2,南明奈,3,釈由美子,4,吹石一恵,5,北乃きい,6,梨花,7
# 甘い,甘くない
# チョコレートケーキ > ロールケーキ > ショートケーキ > シフォンケーキ > チーズケーキ
チョコレートケーキ,1,ロールケーキ,2,ショートケーキ,3,シフォンケーキ,4,チーズケーキ,5
# 好きだ,嫌いだ
# ショートケーキ > チーズケーキ > ロールケーキ > シフォンケーキ >> チョコレートケーキ
ショートケーキ,1,チーズケーキ,2,ロールケーキ,3,シフォンケーキ,4,チョコレートケーキ,5
# 美味しい,不味い
# マカロン > カステラ > ベーグル > マフィン > スコーン
マカロン,1,カステラ,2,ベーグル,3,マフィン,4,スコーン,5
# おしゃれだ,おしゃれでない
# マカロン > マフィン > スコーン > ベーグル > カステラ
マカロン,1,マフィン,2,スコーン,3,ベーグル,4,カステラ,5
# 美味しい,不味い
# 紅茶 > 緑茶 > オレンジジュース > ココア > 抹茶
紅茶,1,緑茶,2,オレンジジュース,3,ココア,4,抹茶,5
# 好きだ,嫌いだ
# お好み焼き > カツカレー > 讃岐うどん > 牛タン > 串かつ
お好み焼き,1,カツカレー,2,讃岐うどん,3,牛タン,4,串かつ,5
# 高価だ,安価だ
# 牛タン >> カツカレー > お好み焼き > 串かつ > 讃岐うどん
牛タン,1,カツカレー,2,お好み焼き,3,串かつ,4,讃岐うどん,5
# 暖かい,寒い
# 沖縄 > 福岡 > 神戸 > 大阪 > 東京 > 名古屋 > 札幌
沖縄,1,福岡,2,神戸,3,大阪,4,東京,5,名古屋,6,札幌,7
# 遠い,近い
# 沖縄 > 札幌 > 福岡 > 神戸 > 大阪 > 名古屋 > 東京
沖縄,1,札幌,2,福岡,3,神戸,4,大阪,5,名古屋,6,東京,7
# ヘルシーだ,ヘルシーでない
# タイ料理 > 韓国料理 > インド料理 > スペイン料理 > 中華料理
タイ料理,1,韓国料理,2,インド料理,3,スペイン料理,4,中華料理,5
# 辛い,辛くない
# タイ料理 > 中華料理 > 韓国料理 > インド料理 > スペイン料理
タイ料理,1,中華料理,2,韓国料理,3,インド料理,4,スペイン料理,5
# 優秀だ,優秀でない
# 宇宙飛行士 > 医師 > 作曲者 = 科学者 > 警察官
宇宙飛行士,1,医師,2,作曲者,3,科学者,3,警察官,5
# 過酷だ,過酷でない
# 宇宙飛行士 > 医師 = 作曲者 > 科学者 > 警察官
宇宙飛行士,1,医師,2,作曲者,2,科学者,4,警察官,5
# 面白い,つまらない
# スター・ウォーズ > 風の谷のナウシカ > となりのトトロ > 美女と野獣 > 不思議の国のアリス
スター・ウォーズ,1,風の谷のナウシカ,2,となりのトトロ,3,美女と野獣,4,不思議の国のアリス,5
# 新しい,古い
# スター・ウォーズ >> となりのトトロ > 風の谷のナウシカ >> 美女と野獣 >> 不思議の国のアリス
スター・ウォーズ,1,となりのトトロ,2,風の谷のナウシカ,3,美女と野獣,4,不思議の国のアリス,5
# 必須だ,無駄だ
# 英語 > 数学 > 国語 > 体育 > 世界史
英語,1,数学,2,国語,3,体育,4,世界史,5
# 簡単だ,難しい
# 体育 > 国語 > 世界史 > 英語 > 数学
体育,1,国語,2,世界史,3,英語,4,数学,5
# 楽しい,楽しくない
# ジョギング > 読書 >> ドライブ > 釣り > BBQ > サーフィン
ジョギング,1,読書,2,ドライブ,3,釣り,4,BBQ,5,サーフィン,6
# 有意義だ,有意義でない
# ジョギング > 読書 >> ドライブ > 釣り > BBQ > サーフィン
ジョギング,1,読書,2,ドライブ,3,釣り,4,BBQ,5,サーフィン,6
# 手軽だ,手軽でない
# ジョギング > 読書 >> ドライブ > 釣り > BBQ > サーフィン
ジョギング,1,読書,2,ドライブ,3,釣り,4,BBQ,5,サーフィン,6
# 面白い,つまらない
# Youtube > Twitter > ニコ動 > Facebook > インスタグラム
Youtube,1,Twitter,2,ニコ動,3,Facebook,4,インスタグラム,5
# 便利だ,便利でない
# Twitter > Facebook > Youtube > ニコ動 > インスタグラム
Twitter,1,Facebook,2,Youtube,3,ニコ動,4,インスタグラム,5
# 面白い,つまらない
# ジョジョ > ドラゴンボール > エヴァ > GTO > プリキュア > セーラームーン
ジョジョ,1,ドラゴンボール,2,エヴァ,3,GTO,4,プリキュア,5,セーラームーン,6
# 若い,若くない
# 鳩山由紀夫 > 安倍晋三 > 麻生太郎 > 小泉純一郎 > 田中角栄
鳩山由紀夫,1,安倍晋三,2,麻生太郎,3,小泉純一郎,4,田中角栄,5
# 好きだ,嫌いだ
# 安倍晋三 > 小泉純一郎 > 田中角栄 > 麻生太郎 >> 鳩山由紀夫
安倍晋三,1,小泉純一郎,2,田中角栄,3,麻生太郎,4,鳩山由紀夫,5
# 好調だ,不調だ
# グーグル > アップル >> マイクロソフト > ヤフー > サムスン
グーグル,1,アップル,2,マイクロソフト,3,ヤフー,4,サムスン,5
# 不可欠だ,不要だ
# グーグル = アップル > マイクロソフト >> ヤフー > サムスン
グーグル,1,アップル,1,マイクロソフト,3,ヤフー,4,サムスン,5
# 偉大だ,偉大でない
# エジソン > ニュートン > 宮沢賢治 > 坂本龍馬 > 聖徳太子
エジソン,1,ニュートン,2,宮沢賢治,3,坂本龍馬,4,聖徳太子,5
# 好きだ,嫌いだ
# 宮沢賢治 > エジソン > 坂本龍馬 > ニュートン > 聖徳太子
宮沢賢治,1,エジソン,2,坂本龍馬,3,ニュートン,4,聖徳太子,5
# 面白い,つまらない
# 明石家さんま > タモリ > ビートたけし > 島田紳助 > 所ジョージ
明石家さんま,1,タモリ,2,ビートたけし,3,島田紳助,4,所ジョージ,5
# 若い,若くない
# 島田紳助 > 明石家さんま > タモリ > 所ジョージ > ビートたけし
島田紳助,1,明石家さんま,2,タモリ,3,所ジョージ,4,ビートたけし,5
# 貴重だ,貴重でない
# 出雲大社 > 琵琶湖 > 皇居 > 大阪城 >> 通天閣
出雲大社,1,琵琶湖,2,皇居,3,大阪城,4,通天閣,5
# 新しい,古い
# 弥生時代 > 奈良時代 > 平安時代 > 鎌倉時代 > 江戸時代
弥生時代,1,奈良時代,2,平安時代,3,鎌倉時代,4,江戸時代,5
# 長い,短い
# 弥生時代 > 平安時代 > 江戸時代 > 鎌倉時代 > 奈良時代
弥生時代,1,平安時代,2,江戸時代,3,鎌倉時代,4,奈良時代,5
# 重要だ,重要でない
# 優しさ > ルックス > 話し方 > 髪型 > 服装
優しさ,1,ルックス,2,話し方,3,髪型,4,服装,5
# 若い,若くない
# 羽生結弦 > 錦織圭 > ダルビッシュ > 内村航平 > イチロー
羽生結弦,1,錦織圭,2,ダルビッシュ,3,内村航平,4,イチロー,5
# 素晴らしい,素晴らしくない
# 錦織圭 > イチロー > 内村航平 > ダルビッシュ > 羽生結弦
錦織圭,1,イチロー,2,内村航平,3,ダルビッシュ,4,羽生結弦,5
