# 大きい,小さい
# ペンギン > にわとり > 白鳥 > ふくろう > すずめ
ペンギン,1,にわとり,2,白鳥,3,ふくろう,4,すずめ,5
# タイ料理 > スペイン料理 > 韓国料理 = インド料理 > 中華料理
タイ料理,1,スペイン料理,2,韓国料理,3,インド料理,3,中華料理,5
# 優秀だ,優秀でない
# 医師 = 科学者 = 宇宙飛行士 = 作曲者 >> 警察官
医師,1,科学者,1,宇宙飛行士,1,作曲者,1,警察官,5
# 過酷だ,過酷でない
# 警察官 = 医師 = 宇宙飛行士 >> 科学者 = 作曲者
警察官,1,医師,1,宇宙飛行士,1,科学者,4,作曲者,4
# 面白い,つまらない
# 風の谷のナウシカ >> 不思議の国のアリス > スター・ウォーズ > 美女と野獣 > となりのトトロ
風の谷のナウシカ,1,不思議の国のアリス,2,スター・ウォーズ,3,美女と野獣,4,となりのトトロ,5
# 新しい,古い
# スター・ウォーズ > となりのトトロ = 風の谷のナウシカ > 不思議の国のアリス > 美女と野獣
スター・ウォーズ,1,となりのトトロ,2,風の谷のナウシカ,2,不思議の国のアリス,4,美女と野獣,5
# 必須だ,無駄だ
# 数学 = 英語 >> 国語 > 世界史 > 体育
数学,1,英語,1,国語,3,世界史,4,体育,5
# 簡単だ,難しい
# 英語 = 国語 >> 体育 > 世界史 >> 数学
英語,1,国語,1,体育,3,世界史,4,数学,5
# 楽しい,楽しくない
# 読書 = 釣り >> ＢＢＱ = ドライブ >> サーフィン = ジョギング
読書,1,釣り,1,ＢＢＱ,3,ドライブ,3,サーフィン,5,ジョギング,5
# 有意義だ,有意義でない
# 釣り > 読書 > ＢＢＱ = ドライブ >> ジョギング = サーフィン
釣り,1,読書,2,ＢＢＱ,3,ドライブ,3,ジョギング,5,サーフィン,5
# 手軽だ,手軽でない
# 読書 >> ジョギング > 釣り > ＢＢＱ = ドライブ >> サーフィン
読書,1,ジョギング,2,釣り,3,ＢＢＱ,4,ドライブ,4,サーフィン,6
# 面白い,つまらない
# Ｙｏｕｔｕｂｅ > Ｔｗｉｔｔｅｒ >> インスタグラム > Ｆａｃｅｂｏｏｋ > ニコ動
Ｙｏｕｔｕｂｅ,1,Ｔｗｉｔｔｅｒ,2,インスタグラム,3,Ｆａｃｅｂｏｏｋ,4,ニコ動,5
# 便利だ,便利でない
# Ｙｏｕｔｕｂｅ > Ｔｗｉｔｔｅｒ > Ｆａｃｅｂｏｏｋ > インスタグラム > ニコ動
Ｙｏｕｔｕｂｅ,1,Ｔｗｉｔｔｅｒ,2,Ｆａｃｅｂｏｏｋ,3,インスタグラム,4,ニコ動,5
# 面白い,つまらない
# ジョジョ > エヴァ > ドラゴンボール > ＧＴＯ > セーラームーン > プリキュア
ジョジョ,1,エヴァ,2,ドラゴンボール,3,ＧＴＯ,4,セーラームーン,5,プリキュア,6
# 若い,若くない
# 安倍晋三 > 小泉純一郎 > 麻生太郎 > 鳩山由紀夫 >> 田中角栄
安倍晋三,1,小泉純一郎,2,麻生太郎,3,鳩山由紀夫,4,田中角栄,5
# 好きだ,嫌いだ
# 安倍晋三 = 麻生太郎 > 小泉純一郎 > 田中角栄 >> 鳩山由紀夫
安倍晋三,1,麻生太郎,1,小泉純一郎,3,田中角栄,4,鳩山由紀夫,5
# 好調だ,不調だ
# グーグル > アップル = ヤフー > マイクロソフト >> サムスン
グーグル,1,アップル,2,ヤフー,2,マイクロソフト,4,サムスン,5
# 不可欠だ,不要だ
# アップル = グーグル > マイクロソフト > ヤフー > サムスン
アップル,1,グーグル,1,マイクロソフト,3,ヤフー,4,サムスン,5
# 偉大だ,偉大でない
# エジソン = 宮沢賢治 = ニュートン >> 聖徳太子 = 坂本龍馬
エジソン,1,宮沢賢治,1,ニュートン,1,聖徳太子,4,坂本龍馬,4
# 好きだ,嫌いだ
# エジソン = 宮沢賢治 = ニュートン > 坂本龍馬 > 聖徳太子
エジソン,1,宮沢賢治,1,ニュートン,1,坂本龍馬,4,聖徳太子,5
# 面白い,つまらない
# 明石家さんま > タモリ > 所ジョージ > ビートたけし = 島田紳助
明石家さんま,1,タモリ,2,所ジョージ,3,ビートたけし,4,島田紳助,4
# 若い,若くない
# 明石家さんま > 島田紳助 > タモリ > 所ジョージ > ビートたけし
明石家さんま,1,島田紳助,2,タモリ,3,所ジョージ,4,ビートたけし,5
# 貴重だ,貴重でない
# 皇居 > 出雲大社 > 琵琶湖 >> 通天閣 = 大阪城
皇居,1,出雲大社,2,琵琶湖,3,通天閣,4,大阪城,4
# 印象的だ,印象的でない
# 出雲大社 > 琵琶湖 > 皇居 > 大阪城 = 通天閣
出雲大社,1,琵琶湖,2,皇居,3,大阪城,4,通天閣,4
# 新しい,古い
# 江戸時代 > 鎌倉時代 > 平安時代 > 奈良時代 > 弥生時代
江戸時代,1,鎌倉時代,2,平安時代,3,奈良時代,4,弥生時代,5
# 長い,短い
# 江戸時代 > 平安時代 > 鎌倉時代 > 弥生時代 > 奈良時代
江戸時代,1,平安時代,2,鎌倉時代,3,弥生時代,4,奈良時代,5
# 重要だ,重要でない
# ルックス = 優しさ > 話し方 > 服装 > 髪型
ルックス,1,優しさ,1,話し方,3,服装,4,髪型,5
# 若い,若くない
# 羽生結弦 > ダルビッシュ > 錦織圭 > 内村航平 > イチロー
羽生結弦,1,ダルビッシュ,2,錦織圭,3,内村航平,4,イチロー,5
# 素晴らしい,素晴らしくない
# 錦織圭 > イチロー > 羽生結弦 = ダルビッシュ = 内村航平
錦織圭,1,イチロー,2,羽生結弦,3,ダルビッシュ,3,内村航平,3
