# 大きい,小さい
# ペンギン > 白鳥 > ふくろう > にわとり > すずめ
ペンギン,1,白鳥,2,ふくろう,3,にわとり,4,すずめ,5
チューハイ,1,ハイボール,2,ウイスキー,3,日本酒,3,ビール,5
# 高価だ,安価だ
# ウイスキー = 日本酒 > ビール > チューハイ = ハイボール
ウイスキー,1,日本酒,1,ビール,3,チューハイ,4,ハイボール,4
# 好きだ,嫌いだ
# カレー > ハンバーガー > ピザ > ラーメン > チャーハン
カレー,1,ハンバーガー,2,ピザ,3,ラーメン,4,チャーハン,5
# 脂っこい,脂っこくない
# ピザ > ハンバーガー > ラーメン > チャーハン > カレー
ピザ,1,ハンバーガー,2,ラーメン,3,チャーハン,4,カレー,5
# 高価だ,安価だ
# 洗濯機 > エアコン > カーナビ > カメラ > プリンタ
洗濯機,1,エアコン,2,カーナビ,3,カメラ,4,プリンタ,5
# うるさい,静かだ
# 洗濯機 > プリンタ > エアコン > カーナビ > カメラ
洗濯機,1,プリンタ,2,エアコン,3,カーナビ,4,カメラ,5
# 好きだ,嫌いだ
# 晴天 > 雪 >> 雷 > 強風 = 雨 > 霧 = 霜
晴天,1,雪,2,雷,3,強風,4,雨,4,霧,6,霜,6
# 珍しい,珍しくない
# 雪 >> 霧 > 霜 = 雷 > 強風 = 晴天 > 雨
雪,1,霧,2,霜,3,雷,3,強風,5,晴天,5,雨,7
# 好きだ,嫌いだ
# 鶏肉 > 牛肉 = 豚肉 > 馬肉 > ラム肉
鶏肉,1,牛肉,2,豚肉,2,馬肉,4,ラム肉,5
# 高価だ,安価だ
# 馬肉 > ラム肉 > 豚肉 > 牛肉 > 鶏肉
馬肉,1,ラム肉,2,豚肉,3,牛肉,4,鶏肉,5
# 有名だ,無名だ
# 薬師寺 > 銀閣寺 > 増上寺 > 善光寺 > 中尊寺 > 東寺
薬師寺,1,銀閣寺,2,増上寺,3,善光寺,4,中尊寺,5,東寺,6
# 立派だ,立派でない
# 銀閣寺 > 薬師寺 > 中尊寺 > 善光寺 > 東寺 > 増上寺
銀閣寺,1,薬師寺,2,中尊寺,3,善光寺,4,東寺,5,増上寺,6
# メジャーだ,マイナーだ
# 相撲 > 野球 > サッカー > バスケ > バレー > テニス > 卓球
相撲,1,野球,2,サッカー,3,バスケ,4,バレー,5,テニス,6,卓球,7
# 得意だ,苦手だ
# 卓球 > サッカー > 野球 > バスケ > テニス > バレー > 相撲
卓球,1,サッカー,2,野球,3,バスケ,4,テニス,5,バレー,6,相撲,7
# 快適だ,不快だ
# 新幹線 > バス > 電車 > タクシー > 飛行機
新幹線,1,バス,2,電車,3,タクシー,4,飛行機,5
# 速い,遅い
# 飛行機 > 新幹線 > 電車 > タクシー > バス
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,5
# 安全だ,危険だ
# バス > タクシー > 電車 > 新幹線 > 飛行機
バス,1,タクシー,2,電車,3,新幹線,4,飛行機,5
# 可愛い,可愛くない
# 北乃きい > 優香 = 釈由美子 > 南明奈 > 梨花 = 吹石一恵 > 友近
北乃きい,1,優香,2,釈由美子,2,南明奈,4,梨花,5,吹石一恵,5,友近,7
# 面白い,つまらない
# 友近 > 梨花 > 優香 > 南明奈 > 吹石一恵 > 北乃きい > 釈由美子
友近,1,梨花,2,優香,3,南明奈,4,吹石一恵,5,北乃きい,6,釈由美子,7
# 甘い,甘くない
# ショートケーキ > ロールケーキ > チーズケーキ > シフォンケーキ > チョコレートケーキ
ショートケーキ,1,ロールケーキ,2,チーズケーキ,3,シフォンケーキ,4,チョコレートケーキ,5
# 好きだ,嫌いだ
# チーズケーキ > ショートケーキ > チョコレートケーキ > ロールケーキ > シフォンケーキ
チーズケーキ,1,ショートケーキ,2,チョコレートケーキ,3,ロールケーキ,4,シフォンケーキ,5
# 美味しい,不味い
# カステラ > ベーグル > マフィン > スコーン > マカロン
カステラ,1,ベーグル,2,マフィン,3,スコーン,4,マカロン,5
# おしゃれだ,おしゃれでない
# マフィン > マカロン > ベーグル > カステラ > スコーン
マフィン,1,マカロン,2,ベーグル,3,カステラ,4,スコーン,5
# 美味しい,不味い
# オレンジジュース > ココア > 抹茶 > 緑茶 > 紅茶
オレンジジュース,1,ココア,2,抹茶,3,緑茶,4,紅茶,5
# 好きだ,嫌いだ
# カツカレー > 牛タン > 串かつ > お好み焼き > 讃岐うどん
カツカレー,1,牛タン,2,串かつ,3,お好み焼き,4,讃岐うどん,5
# 高価だ,安価だ
# 牛タン > 串かつ > お好み焼き > カツカレー > 讃岐うどん
牛タン,1,串かつ,2,お好み焼き,3,カツカレー,4,讃岐うどん,5
# 暖かい,寒い
# 沖縄 > 大阪 > 福岡 > 名古屋 > 神戸 > 東京 > 札幌
沖縄,1,大阪,2,福岡,3,名古屋,4,神戸,5,東京,6,札幌,7
# 遠い,近い
# 沖縄 > 福岡 > 名古屋 > 大阪 > 神戸 > 札幌 > 東京
沖縄,1,福岡,2,名古屋,3,大阪,4,神戸,5,札幌,6,東京,7
# ヘルシーだ,ヘルシーでない
# 中華料理 > タイ料理 > インド料理 > スペイン料理 > 韓国料理
中華料理,1,タイ料理,2,インド料理,3,スペイン料理,4,韓国料理,5
# 辛い,辛くない
# タイ料理 > 中華料理 > インド料理 > スペイン料理 > 韓国料理
タイ料理,1,中華料理,2,インド料理,3,スペイン料理,4,韓国料理,5
# 優秀だ,優秀でない
# 医師 > 宇宙飛行士 > 科学者 > 警察官 > 作曲者
医師,1,宇宙飛行士,2,科学者,3,警察官,4,作曲者,5
# 過酷だ,過酷でない
# 医師 > 宇宙飛行士 > 警察官 > 科学者 > 作曲者
医師,1,宇宙飛行士,2,警察官,3,科学者,4,作曲者,5
# 面白い,つまらない
# スター・ウォーズ > となりのトトロ > 不思議の国のアリス > 風の谷のナウシカ > 美女と野獣
スター・ウォーズ,1,となりのトトロ,2,不思議の国のアリス,3,風の谷のナウシカ,4,美女と野獣,5
# 新しい,古い
# 不思議の国のアリス > 風の谷のナウシカ > スター・ウォーズ > となりのトトロ > 美女と野獣
不思議の国のアリス,1,風の谷のナウシカ,2,スター・ウォーズ,3,となりのトトロ,4,美女と野獣,5
# 必須だ,無駄だ
# 国語 > 数学 > 世界史 > 体育 > 英語
国語,1,数学,2,世界史,3,体育,4,英語,5
# 簡単だ,難しい
# 体育 > 国語 > 世界史 >> 数学 > 英語
体育,1,国語,2,世界史,3,数学,4,英語,5
# 楽しい,楽しくない
# ＢＢＱ > 読書 > 釣り > ドライブ > ジョギング > サーフィン
ＢＢＱ,1,読書,2,釣り,3,ドライブ,4,ジョギング,5,サーフィン,6
# 有意義だ,有意義でない
# 読書 > ジョギング > ＢＢＱ > 釣り > ドライブ > サーフィン
読書,1,ジョギング,2,ＢＢＱ,3,釣り,4,ドライブ,5,サーフィン,6
# 手軽だ,手軽でない
# ジョギング = 読書 >> ドライブ > 釣り > ＢＢＱ > サーフィン
ジョギング,1,読書,1,ドライブ,3,釣り,4,ＢＢＱ,5,サーフィン,6
# 面白い,つまらない
# ニコ動 > Ｔｗｉｔｔｅｒ > Ｙｏｕｔｕｂｅ > Ｆａｃｅｂｏｏｋ > インスタグラム
ニコ動,1,Ｔｗｉｔｔｅｒ,2,Ｙｏｕｔｕｂｅ,3,Ｆａｃｅｂｏｏｋ,4,インスタグラム,5
# 便利だ,便利でない
# Ｔｗｉｔｔｅｒ > ニコ動 > Ｙｏｕｔｕｂｅ > Ｆａｃｅｂｏｏｋ > インスタグラム
Ｔｗｉｔｔｅｒ,1,ニコ動,2,Ｙｏｕｔｕｂｅ,3,Ｆａｃｅｂｏｏｋ,4,インスタグラム,5
# 面白い,つまらない
# ドラゴンボール > エヴァ > ジョジョ > ＧＴＯ > セーラームーン = プリキュア
ドラゴンボール,1,エヴァ,2,ジョジョ,3,ＧＴＯ,4,セーラームーン,5,プリキュア,5
# 若い,若くない
# 小泉純一郎 > 麻生太郎 > 安倍晋三 > 田中角栄 > 鳩山由紀夫
小泉純一郎,1,麻生太郎,2,安倍晋三,3,田中角栄,4,鳩山由紀夫,5
# 好きだ,嫌いだ
# 小泉純一郎 > 麻生太郎 > 田中角栄 > 安倍晋三 > 鳩山由紀夫
小泉純一郎,1,麻生太郎,2,田中角栄,3,安倍晋三,4,鳩山由紀夫,5
# 好調だ,不調だ
# アップル > グーグル > ヤフー > サムスン > マイクロソフト
アップル,1,グーグル,2,ヤフー,3,サムスン,4,マイクロソフト,5
# 不可欠だ,不要だ
# アップル > ヤフー > グーグル > マイクロソフト > サムスン
アップル,1,ヤフー,2,グーグル,3,マイクロソフト,4,サムスン,5
# 偉大だ,偉大でない
# 坂本龍馬 > 聖徳太子 > ニュートン > エジソン > 宮沢賢治
坂本龍馬,1,聖徳太子,2,ニュートン,3,エジソン,4,宮沢賢治,5
# 好きだ,嫌いだ
# 坂本龍馬 > エジソン = ニュートン > 聖徳太子 > 宮沢賢治
坂本龍馬,1,エジソン,2,ニュートン,2,聖徳太子,4,宮沢賢治,5
# 面白い,つまらない
# 明石家さんま > 所ジョージ > タモリ = ビートたけし > 島田紳助
明石家さんま,1,所ジョージ,2,タモリ,3,ビートたけし,3,島田紳助,5
# 若い,若くない
# 所ジョージ > 明石家さんま > ビートたけし > タモリ > 島田紳助
所ジョージ,1,明石家さんま,2,ビートたけし,3,タモリ,4,島田紳助,5
# 貴重だ,貴重でない
# 大阪城 > 皇居 > 琵琶湖 > 出雲大社 > 通天閣
大阪城,1,皇居,2,琵琶湖,3,出雲大社,4,通天閣,5
# 印象的だ,印象的でない
# 琵琶湖 > 大阪城 = 皇居 > 出雲大社 > 通天閣
琵琶湖,1,大阪城,2,皇居,2,出雲大社,4,通天閣,5
# 新しい,古い
# 弥生時代 > 鎌倉時代 > 奈良時代 > 平安時代 > 江戸時代
弥生時代,1,鎌倉時代,2,奈良時代,3,平安時代,4,江戸時代,5
# 長い,短い
# 江戸時代 > 鎌倉時代 > 平安時代 > 弥生時代 > 奈良時代
江戸時代,1,鎌倉時代,2,平安時代,3,弥生時代,4,奈良時代,5
# 重要だ,重要でない
# 優しさ > 話し方 > 髪型 = 服装 > ルックス
優しさ,1,話し方,2,髪型,3,服装,3,ルックス,5
# 若い,若くない
# 羽生結弦 > 錦織圭 > ダルビッシュ > 内村航平 > イチロー
羽生結弦,1,錦織圭,2,ダルビッシュ,3,内村航平,4,イチロー,5
# 素晴らしい,素晴らしくない
# 内村航平 > イチロー > 錦織圭 > 羽生結弦 > ダルビッシュ
内村航平,1,イチロー,2,錦織圭,3,羽生結弦,4,ダルビッシュ,5
