# 大きい,小さい
# 白鳥 >> ふくろう > ペンギン >> にわとり >> すずめ
白鳥,1,ふくろう,2,ペンギン,3,にわとり,4,すずめ,5
日本酒,1,ウイスキー,2,ビール,3,ハイボール,3,チューハイ,3
# 好きだ,嫌いだ
# ピザ = ラーメン > ハンバーガー > カレー = チャーハン
ピザ,1,ラーメン,1,ハンバーガー,3,カレー,4,チャーハン,4
# 脂っこい,脂っこくない
# ラーメン >> ハンバーガー > カレー > ピザ >> チャーハン
ラーメン,1,ハンバーガー,2,カレー,3,ピザ,4,チャーハン,5
# 高価だ,安価だ
# プリンタ = エアコン > 洗濯機 > カメラ > カーナビ
プリンタ,1,エアコン,1,洗濯機,3,カメラ,4,カーナビ,5
# うるさい,静かだ
# 洗濯機 > プリンタ > カーナビ > エアコン > カメラ
洗濯機,1,プリンタ,2,カーナビ,3,エアコン,4,カメラ,5
# 好きだ,嫌いだ
# 晴天 >> 雪 >> 霧 = 霜 > 雨 = 強風 = 雷
晴天,1,雪,2,霧,3,霜,3,雨,5,強風,5,雷,5
# 珍しい,珍しくない
# 霜 = 霧 >> 雪 >> 雷 > 雨 > 晴天 > 強風
霜,1,霧,1,雪,3,雷,4,雨,5,晴天,6,強風,7
# 好きだ,嫌いだ
# 牛肉 = 鶏肉 = 豚肉 >> ラム肉 = 馬肉
牛肉,1,鶏肉,1,豚肉,1,ラム肉,4,馬肉,4
# 高価だ,安価だ
# 馬肉 > ラム肉 >> 牛肉 > 豚肉 > 鶏肉
馬肉,1,ラム肉,2,牛肉,3,豚肉,4,鶏肉,5
# 有名だ,無名だ
# 銀閣寺 >> 薬師寺 > 善光寺 > 中尊寺 >> 東寺 > 増上寺
銀閣寺,1,薬師寺,2,善光寺,3,中尊寺,4,東寺,5,増上寺,6
# 立派だ,立派でない
# 銀閣寺 >> 中尊寺 > 薬師寺 > 善光寺 > 東寺 = 増上寺
銀閣寺,1,中尊寺,2,薬師寺,3,善光寺,4,東寺,5,増上寺,5
# メジャーだ,マイナーだ
# サッカー = 野球 > バスケ > バレー > テニス > 相撲 > 卓球
サッカー,1,野球,1,バスケ,3,バレー,4,テニス,5,相撲,6,卓球,7
# 得意だ,苦手だ
# バスケ = サッカー >> テニス > バレー >> 相撲 = 卓球 = 野球
バスケ,1,サッカー,1,テニス,3,バレー,4,相撲,5,卓球,5,野球,5
# 快適だ,不快だ
# 飛行機 > 新幹線 >> タクシー > 電車 > バス
飛行機,1,新幹線,2,タクシー,3,電車,4,バス,5
# 速い,遅い
# 飛行機 > 新幹線 >> 電車 > タクシー >> バス
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,5
# 安全だ,危険だ
# 飛行機 = 新幹線 = 電車 > バス = タクシー
飛行機,1,新幹線,1,電車,1,バス,4,タクシー,4
# 可愛い,可愛くない
# 梨花 = 優香 > 南明奈 >> 北乃きい > 吹石一恵 > 釈由美子 >> 友近
梨花,1,優香,1,南明奈,3,北乃きい,4,吹石一恵,5,釈由美子,6,友近,7
# 面白い,つまらない
# 友近 > 優香 >> 梨花 >> 北乃きい = 釈由美子 = 南明奈 = 吹石一恵
友近,1,優香,2,梨花,3,北乃きい,4,釈由美子,4,南明奈,4,吹石一恵,4
# 甘い,甘くない
# ショートケーキ = チョコレートケーキ > ロールケーキ >> シフォンケーキ = チーズケーキ
ショートケーキ,1,チョコレートケーキ,1,ロールケーキ,3,シフォンケーキ,4,チーズケーキ,4
# 好きだ,嫌いだ
# ショートケーキ = チョコレートケーキ = ロールケーキ > シフォンケーキ > チーズケーキ
ショートケーキ,1,チョコレートケーキ,1,ロールケーキ,1,シフォンケーキ,4,チーズケーキ,5
# 美味しい,不味い
# スコーン > マフィン = カステラ > ベーグル > マカロン
スコーン,1,マフィン,2,カステラ,2,ベーグル,4,マカロン,5
# おしゃれだ,おしゃれでない
# マカロン = マフィン > ベーグル >> スコーン = カステラ
マカロン,1,マフィン,1,ベーグル,3,スコーン,4,カステラ,4
# 美味しい,不味い
# 抹茶 > 緑茶 > ココア > オレンジジュース >> 紅茶
抹茶,1,緑茶,2,ココア,3,オレンジジュース,4,紅茶,5
# 好きだ,嫌いだ
# 讃岐うどん > お好み焼き >> カツカレー = 串かつ = 牛タン
讃岐うどん,1,お好み焼き,2,カツカレー,3,串かつ,3,牛タン,3
# 高価だ,安価だ
# 牛タン >> 串かつ > カツカレー > お好み焼き >> 讃岐うどん
牛タン,1,串かつ,2,カツカレー,3,お好み焼き,4,讃岐うどん,5
# 暖かい,寒い
# 沖縄 >> 大阪 > 名古屋 > 東京 > 神戸 >> 福岡 >> 札幌
沖縄,1,大阪,2,名古屋,3,東京,4,神戸,5,福岡,6,札幌,7
# 遠い,近い
# 札幌 > 沖縄 >> 東京 > 福岡 > 名古屋 >> 神戸 > 大阪
札幌,1,沖縄,2,東京,3,福岡,4,名古屋,5,神戸,6,大阪,7
# ヘルシーだ,ヘルシーでない
# スペイン料理 > インド料理 > タイ料理 >> 韓国料理 > 中華料理
スペイン料理,1,インド料理,2,タイ料理,3,韓国料理,4,中華料理,5
# 辛い,辛くない
# 中華料理 > タイ料理 > インド料理 > 韓国料理 >> スペイン料理
中華料理,1,タイ料理,2,インド料理,3,韓国料理,4,スペイン料理,5
# 優秀だ,優秀でない
# 医師 > 科学者 >> 宇宙飛行士 > 作曲者 >> 警察官
医師,1,科学者,2,宇宙飛行士,3,作曲者,4,警察官,5
# 過酷だ,過酷でない
# 医師 > 宇宙飛行士 >> 科学者 > 作曲者 >> 警察官
医師,1,宇宙飛行士,2,科学者,3,作曲者,4,警察官,5
# 面白い,つまらない
# スター・ウォーズ >> 不思議の国のアリス > となりのトトロ >> 美女と野獣 > 風の谷のナウシカ
スター・ウォーズ,1,不思議の国のアリス,2,となりのトトロ,3,美女と野獣,4,風の谷のナウシカ,5
# 新しい,古い
# スター・ウォーズ > となりのトトロ >> 風の谷のナウシカ > 不思議の国のアリス > 美女と野獣
スター・ウォーズ,1,となりのトトロ,2,風の谷のナウシカ,3,不思議の国のアリス,4,美女と野獣,5
# 必須だ,無駄だ
# 英語 > 体育 >> 世界史 >> 数学 = 国語
英語,1,体育,2,世界史,3,数学,4,国語,4
# 簡単だ,難しい
# 体育 >> 世界史 >> 国語 > 数学 = 英語
体育,1,世界史,2,国語,3,数学,4,英語,4
# 楽しい,楽しくない
# ドライブ = ＢＢＱ > サーフィン >> ジョギング >> 釣り = 読書
ドライブ,1,ＢＢＱ,1,サーフィン,3,ジョギング,4,釣り,5,読書,5
# 有意義だ,有意義でない
# ドライブ > ＢＢＱ > ジョギング > サーフィン > 釣り > 読書
ドライブ,1,ＢＢＱ,2,ジョギング,3,サーフィン,4,釣り,5,読書,6
# 手軽だ,手軽でない
# ドライブ > ジョギング > ＢＢＱ > 読書 >> 釣り >> サーフィン
ドライブ,1,ジョギング,2,ＢＢＱ,3,読書,4,釣り,5,サーフィン,6
# 面白い,つまらない
# Ｔｗｉｔｔｅｒ = インスタグラム > Ｙｏｕｔｕｂｅ >> ニコ動 > Ｆａｃｅｂｏｏｋ
Ｔｗｉｔｔｅｒ,1,インスタグラム,1,Ｙｏｕｔｕｂｅ,3,ニコ動,4,Ｆａｃｅｂｏｏｋ,5
# 便利だ,便利でない
# Ｔｗｉｔｔｅｒ = インスタグラム > Ｙｏｕｔｕｂｅ >> ニコ動 > Ｆａｃｅｂｏｏｋ
Ｔｗｉｔｔｅｒ,1,インスタグラム,1,Ｙｏｕｔｕｂｅ,3,ニコ動,4,Ｆａｃｅｂｏｏｋ,5
# 面白い,つまらない
# エヴァ > ＧＴＯ >> ドラゴンボール > プリキュア >> セーラームーン > ジョジョ
エヴァ,1,ＧＴＯ,2,ドラゴンボール,3,プリキュア,4,セーラームーン,5,ジョジョ,6
# 若い,若くない
# 小泉純一郎 > 安倍晋三 > 麻生太郎 > 鳩山由紀夫 >> 田中角栄
小泉純一郎,1,安倍晋三,2,麻生太郎,3,鳩山由紀夫,4,田中角栄,5
# 好きだ,嫌いだ
# 小泉純一郎 > 田中角栄 > 麻生太郎 > 安倍晋三 >> 鳩山由紀夫
小泉純一郎,1,田中角栄,2,麻生太郎,3,安倍晋三,4,鳩山由紀夫,5
# 好調だ,不調だ
# アップル = マイクロソフト = グーグル > ヤフー >> サムスン
アップル,1,マイクロソフト,1,グーグル,1,ヤフー,4,サムスン,5
# 不可欠だ,不要だ
# グーグル > アップル = マイクロソフト > ヤフー >> サムスン
グーグル,1,アップル,2,マイクロソフト,2,ヤフー,4,サムスン,5
# 偉大だ,偉大でない
# ニュートン = エジソン >> 聖徳太子 > 坂本龍馬 >> 宮沢賢治
ニュートン,1,エジソン,1,聖徳太子,3,坂本龍馬,4,宮沢賢治,5
# 好きだ,嫌いだ
# エジソン > ニュートン > 坂本龍馬 >> 宮沢賢治 > 聖徳太子
エジソン,1,ニュートン,2,坂本龍馬,3,宮沢賢治,4,聖徳太子,5
# 面白い,つまらない
# 明石家さんま >> 所ジョージ = タモリ > ビートたけし >> 島田紳助
明石家さんま,1,所ジョージ,2,タモリ,2,ビートたけし,4,島田紳助,5
# 若い,若くない
# 明石家さんま = 島田紳助 > 所ジョージ > タモリ = ビートたけし
明石家さんま,1,島田紳助,1,所ジョージ,3,タモリ,4,ビートたけし,4
# 貴重だ,貴重でない
# 琵琶湖 = 出雲大社 > 皇居 > 大阪城 >> 通天閣
琵琶湖,1,出雲大社,1,皇居,3,大阪城,4,通天閣,5
# 印象的だ,印象的でない
# 出雲大社 >> 大阪城 >> 皇居 > 琵琶湖 >> 通天閣
出雲大社,1,大阪城,2,皇居,3,琵琶湖,4,通天閣,5
# 新しい,古い
# 江戸時代 > 鎌倉時代 > 平安時代 > 奈良時代 > 弥生時代
江戸時代,1,鎌倉時代,2,平安時代,3,奈良時代,4,弥生時代,5
# 長い,短い
# 江戸時代 > 鎌倉時代 > 平安時代 > 弥生時代 > 奈良時代
江戸時代,1,鎌倉時代,2,平安時代,3,弥生時代,4,奈良時代,5
# 重要だ,重要でない
# 優しさ = 話し方 > ルックス > 髪型 = 服装
優しさ,1,話し方,1,ルックス,3,髪型,4,服装,4
# 若い,若くない
# 羽生結弦 > 内村航平 > ダルビッシュ > 錦織圭 >> イチロー
羽生結弦,1,内村航平,2,ダルビッシュ,3,錦織圭,4,イチロー,5
# 素晴らしい,素晴らしくない
# 錦織圭 = イチロー > ダルビッシュ > 内村航平 >> 羽生結弦
錦織圭,1,イチロー,1,ダルビッシュ,3,内村航平,4,羽生結弦,5
