# 大きい,小さい
# 白鳥 > にわとり > ペンギン > ふくろう > すずめ
白鳥,1,にわとり,2,ペンギン,3,ふくろう,4,すずめ,5
# ラーメン = チャーハン = ピザ > カレー >> ハンバーガー
ラーメン,1,チャーハン,1,ピザ,1,カレー,4,ハンバーガー,5
# 脂っこい,脂っこくない
# カレー > ハンバーガー >> ラーメン = チャーハン = ピザ
カレー,1,ハンバーガー,2,ラーメン,3,チャーハン,3,ピザ,3
# 高価だ,安価だ
# 洗濯機 = エアコン > カメラ = カーナビ > プリンタ
洗濯機,1,エアコン,1,カメラ,3,カーナビ,3,プリンタ,5
# うるさい,静かだ
# 洗濯機 = エアコン = プリンタ >> カーナビ = カメラ
洗濯機,1,エアコン,1,プリンタ,1,カーナビ,4,カメラ,4
# 好きだ,嫌いだ
# 晴天 >> 雨 > 雪 = 雷 = 霧 = 強風 = 霜
晴天,1,雨,2,雪,3,雷,3,霧,3,強風,3,霜,3
# 珍しい,珍しくない
# 霧 > 雷 > 雪 > 霜 > 強風 = 雨 = 晴天
霧,1,雷,2,雪,3,霜,4,強風,5,雨,5,晴天,5
# 好きだ,嫌いだ
# 牛肉 = 豚肉 = 鶏肉 >> ラム肉 > 馬肉
牛肉,1,豚肉,1,鶏肉,1,ラム肉,4,馬肉,5
# 高価だ,安価だ
# 牛肉 > 馬肉 > ラム肉 >> 豚肉 > 鶏肉
牛肉,1,馬肉,2,ラム肉,3,豚肉,4,鶏肉,5
# 有名だ,無名だ
# 銀閣寺 = 善光寺 = 薬師寺 = 中尊寺 >> 増上寺 = 東寺
銀閣寺,1,善光寺,1,薬師寺,1,中尊寺,1,増上寺,5,東寺,5
# 立派だ,立派でない
# 銀閣寺 > 東寺 = 中尊寺 > 善光寺 = 薬師寺 = 増上寺
銀閣寺,1,東寺,2,中尊寺,2,善光寺,4,薬師寺,4,増上寺,4
# メジャーだ,マイナーだ
# サッカー = 野球 = 相撲 > バスケ = テニス = バレー > 卓球
サッカー,1,野球,1,相撲,1,バスケ,4,テニス,4,バレー,4,卓球,7
# 得意だ,苦手だ
# 相撲 > サッカー > 野球 > 卓球 > バスケ = テニス = バレー
相撲,1,サッカー,2,野球,3,卓球,4,バスケ,5,テニス,5,バレー,5
# 快適だ,不快だ
# 新幹線 = 電車 > 飛行機 >> タクシー = バス
新幹線,1,電車,1,飛行機,3,タクシー,4,バス,4
# 速い,遅い
# 飛行機 > 新幹線 >> 電車 > タクシー = バス
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,4
# 安全だ,危険だ
# 飛行機 = 新幹線 = 電車 > タクシー = バス
飛行機,1,新幹線,1,電車,1,タクシー,4,バス,4
# 可愛い,可愛くない
# 北乃きい = 吹石一恵 > 南明奈 = 釈由美子 > 梨花 > 優香 > 友近
北乃きい,1,吹石一恵,1,南明奈,3,釈由美子,3,梨花,5,優香,6,友近,7
# 面白い,つまらない
# 友近 > 釈由美子 > 優香 > 梨花 > 南明奈 > 北乃きい > 吹石一恵
友近,1,釈由美子,2,優香,3,梨花,4,南明奈,5,北乃きい,6,吹石一恵,7
# 甘い,甘くない
# ショートケーキ > チョコレートケーキ > ロールケーキ > チーズケーキ > シフォンケーキ
ショートケーキ,1,チョコレートケーキ,2,ロールケーキ,3,チーズケーキ,4,シフォンケーキ,5
# 好きだ,嫌いだ
# チョコレートケーキ > ショートケーキ > チーズケーキ > ロールケーキ > シフォンケーキ
チョコレートケーキ,1,ショートケーキ,2,チーズケーキ,3,ロールケーキ,4,シフォンケーキ,5
# 美味しい,不味い
# カステラ > マフィン > マカロン = スコーン = ベーグル
カステラ,1,マフィン,2,マカロン,3,スコーン,3,ベーグル,3
# おしゃれだ,おしゃれでない
# マカロン = スコーン = ベーグル = マフィン >> カステラ
マカロン,1,スコーン,1,ベーグル,1,マフィン,1,カステラ,5
# 美味しい,不味い
# ココア = オレンジジュース > 紅茶 > 緑茶 > 抹茶
ココア,1,オレンジジュース,1,紅茶,3,緑茶,4,抹茶,5
# 好きだ,嫌いだ
# 讃岐うどん = お好み焼き = カツカレー > 牛タン = 串かつ
讃岐うどん,1,お好み焼き,1,カツカレー,1,牛タン,4,串かつ,4
# 高価だ,安価だ
# 牛タン > カツカレー > お好み焼き = 串かつ > 讃岐うどん
牛タン,1,カツカレー,2,お好み焼き,3,串かつ,3,讃岐うどん,5
# 暖かい,寒い
# 沖縄 > 福岡 > 大阪 = 神戸 = 名古屋 > 東京 > 札幌
沖縄,1,福岡,2,大阪,3,神戸,3,名古屋,3,東京,6,札幌,7
# 遠い,近い
# 東京 > 名古屋 > 大阪 > 神戸 > 札幌 > 福岡 > 沖縄
東京,1,名古屋,2,大阪,3,神戸,4,札幌,5,福岡,6,沖縄,7
# ヘルシーだ,ヘルシーでない
# インド料理 > タイ料理 = 韓国料理 > 中華料理 > スペイン料理
インド料理,1,タイ料理,2,韓国料理,2,中華料理,4,スペイン料理,5
# 辛い,辛くない
# タイ料理 > インド料理 = 韓国料理 > 中華料理 = スペイン料理
タイ料理,1,インド料理,2,韓国料理,2,中華料理,4,スペイン料理,4
# 優秀だ,優秀でない
# 宇宙飛行士 > 科学者 = 医師 > 警察官 = 作曲者
宇宙飛行士,1,科学者,2,医師,2,警察官,4,作曲者,4
# 過酷だ,過酷でない
# 警察官 = 医師 = 科学者 = 宇宙飛行士 >> 作曲者
警察官,1,医師,1,科学者,1,宇宙飛行士,1,作曲者,5
# 面白い,つまらない
# スター・ウォーズ > 美女と野獣 > 不思議の国のアリス > 風の谷のナウシカ > となりのトトロ
スター・ウォーズ,1,美女と野獣,2,不思議の国のアリス,3,風の谷のナウシカ,4,となりのトトロ,5
# 新しい,古い
# スター・ウォーズ > 不思議の国のアリス > 美女と野獣 > となりのトトロ > 風の谷のナウシカ
スター・ウォーズ,1,不思議の国のアリス,2,美女と野獣,3,となりのトトロ,4,風の谷のナウシカ,5
# 必須だ,無駄だ
# 数学 = 英語 = 体育 = 国語 >> 世界史
数学,1,英語,1,体育,1,国語,1,世界史,5
# 簡単だ,難しい
# 国語 > 世界史 >> 数学 = 英語 > 体育
国語,1,世界史,2,数学,3,英語,3,体育,5
# 楽しい,楽しくない
# 読書 = ジョギング > サーフィン > ＢＢＱ = ドライブ > 釣り
読書,1,ジョギング,1,サーフィン,3,ＢＢＱ,4,ドライブ,4,釣り,6
# 有意義だ,有意義でない
# 読書 = 釣り = ジョギング > サーフィン > ＢＢＱ > ドライブ
読書,1,釣り,1,ジョギング,1,サーフィン,4,ＢＢＱ,5,ドライブ,6
# 手軽だ,手軽でない
# 読書 > ジョギング > ドライブ > ＢＢＱ > 釣り = サーフィン
読書,1,ジョギング,2,ドライブ,3,ＢＢＱ,4,釣り,5,サーフィン,5
# 面白い,つまらない
# Ｙｏｕｔｕｂｅ = Ｔｗｉｔｔｅｒ = ニコ動 >> インスタグラム = Ｆａｃｅｂｏｏｋ
Ｙｏｕｔｕｂｅ,1,Ｔｗｉｔｔｅｒ,1,ニコ動,1,インスタグラム,4,Ｆａｃｅｂｏｏｋ,4
# 便利だ,便利でない
# Ｔｗｉｔｔｅｒ > Ｙｏｕｔｕｂｅ = ニコ動 >> インスタグラム = Ｆａｃｅｂｏｏｋ
Ｔｗｉｔｔｅｒ,1,Ｙｏｕｔｕｂｅ,2,ニコ動,2,インスタグラム,4,Ｆａｃｅｂｏｏｋ,4
# 面白い,つまらない
# ジョジョ >> プリキュア > ドラゴンボール > エヴァ > セーラームーン > ＧＴＯ
ジョジョ,1,プリキュア,2,ドラゴンボール,3,エヴァ,4,セーラームーン,5,ＧＴＯ,6
# 若い,若くない
# 小泉純一郎 > 安倍晋三 > 鳩山由紀夫 > 麻生太郎 > 田中角栄
小泉純一郎,1,安倍晋三,2,鳩山由紀夫,3,麻生太郎,4,田中角栄,5
# 好きだ,嫌いだ
# 小泉純一郎 >> 安倍晋三 = 麻生太郎 = 鳩山由紀夫 = 田中角栄
小泉純一郎,1,安倍晋三,2,麻生太郎,2,鳩山由紀夫,2,田中角栄,2
# 好調だ,不調だ
# アップル = グーグル = マイクロソフト >> ヤフー > サムスン
アップル,1,グーグル,1,マイクロソフト,1,ヤフー,4,サムスン,5
# 不可欠だ,不要だ
# アップル = グーグル = マイクロソフト > ヤフー > サムスン
アップル,1,グーグル,1,マイクロソフト,1,ヤフー,4,サムスン,5
# 偉大だ,偉大でない
# エジソン = ニュートン > 聖徳太子 > 宮沢賢治 > 坂本龍馬
エジソン,1,ニュートン,1,聖徳太子,3,宮沢賢治,4,坂本龍馬,5
# 好きだ,嫌いだ
# ニュートン = 宮沢賢治 > 聖徳太子 > 坂本龍馬 = エジソン
ニュートン,1,宮沢賢治,1,聖徳太子,3,坂本龍馬,4,エジソン,4
# 面白い,つまらない
# タモリ >> 明石家さんま = 所ジョージ > ビートたけし >> 島田紳助
タモリ,1,明石家さんま,2,所ジョージ,2,ビートたけし,4,島田紳助,5
# 若い,若くない
# タモリ > 所ジョージ > 明石家さんま >> ビートたけし = 島田紳助
タモリ,1,所ジョージ,2,明石家さんま,3,ビートたけし,4,島田紳助,4
# 貴重だ,貴重でない
# 出雲大社 = 大阪城 = 皇居 >> 琵琶湖 > 通天閣
出雲大社,1,大阪城,1,皇居,1,琵琶湖,4,通天閣,5
# 印象的だ,印象的でない
# 大阪城 = 皇居 = 琵琶湖 > 出雲大社 >> 通天閣
大阪城,1,皇居,1,琵琶湖,1,出雲大社,4,通天閣,5
# 新しい,古い
# 江戸時代 > 鎌倉時代 > 奈良時代 > 平安時代 >> 弥生時代
江戸時代,1,鎌倉時代,2,奈良時代,3,平安時代,4,弥生時代,5
# 長い,短い
# 江戸時代 > 弥生時代 > 平安時代 > 奈良時代 > 鎌倉時代
江戸時代,1,弥生時代,2,平安時代,3,奈良時代,4,鎌倉時代,5
# 重要だ,重要でない
# 優しさ = 話し方 >> 髪型 = 服装 = ルックス
優しさ,1,話し方,1,髪型,3,服装,3,ルックス,3
# 若い,若くない
# 羽生結弦 > 内村航平 > 錦織圭 > ダルビッシュ > イチロー
羽生結弦,1,内村航平,2,錦織圭,3,ダルビッシュ,4,イチロー,5
# 素晴らしい,素晴らしくない
# イチロー = 錦織圭 = 羽生結弦 = 内村航平 > ダルビッシュ
イチロー,1,錦織圭,1,羽生結弦,1,内村航平,1,ダルビッシュ,5
