# 大きい,小さい
# 白鳥 >> ふくろう > ペンギン >> にわとり >> すずめ
白鳥,1,ふくろう,2,ペンギン,3,にわとり,4,すずめ,5
ソニー,1,パナソニック,1,東芝,1,富士通,1,キャノン,1,エプソン,1,日立製作所,1
# 裕福だ,貧乏だ
# アメリカ >> イギリス > 中国 >> スペイン >> ロシア >> インド = タイ
アメリカ,1,イギリス,2,中国,3,スペイン,4,ロシア,5,インド,6,タイ,6
# 広大だ,せまい
# ロシア >> 中国 = アメリカ >> インド >> スペイン > タイ > イギリス
ロシア,1,中国,2,アメリカ,2,インド,4,スペイン,5,タイ,6,イギリス,7
# 暖かい,寒い
# タイ = インド >> スペイン >> アメリカ = 中国 > イギリス >> ロシア
タイ,1,インド,1,スペイン,3,アメリカ,4,中国,4,イギリス,6,ロシア,7
# 好調だ,不調だ
# トヨタ >> ホンダ = ヤマハ >> マツダ = ダイハツ
トヨタ,1,ホンダ,2,ヤマハ,2,マツダ,4,ダイハツ,4
# 有名だ,無名だ
# トヨタ >> ヤマハ > ホンダ > マツダ >> ダイハツ
トヨタ,1,ヤマハ,2,ホンダ,3,マツダ,4,ダイハツ,5
# 美味しい,不味い
# ハイボール > チューハイ > ビール > 日本酒 > ウイスキー
ハイボール,1,チューハイ,2,ビール,3,日本酒,4,ウイスキー,5
# 高価だ,安価だ
# ウイスキー > 日本酒 >> ビール > ハイボール = チューハイ
ウイスキー,1,日本酒,2,ビール,3,ハイボール,4,チューハイ,4
# 好きだ,嫌いだ
# ラーメン >> ハンバーガー > チャーハン > ピザ = カレー
ラーメン,1,ハンバーガー,2,チャーハン,3,ピザ,4,カレー,4
# 脂っこい,脂っこくない
# ハンバーガー >> チャーハン > ピザ = カレー = ラーメン
ハンバーガー,1,チャーハン,2,ピザ,3,カレー,3,ラーメン,3
# 高価だ,安価だ
# 洗濯機 >> プリンタ >> エアコン >> カメラ >> カーナビ
洗濯機,1,プリンタ,2,エアコン,3,カメラ,4,カーナビ,5
# うるさい,静かだ
# 洗濯機 >> プリンタ = カメラ > カーナビ > エアコン
洗濯機,1,プリンタ,2,カメラ,2,カーナビ,4,エアコン,5
# 好きだ,嫌いだ
# 晴天 >> 雪 >> 強風 = 霧 >> 霜 >> 雨 >> 雷
晴天,1,雪,2,強風,3,霧,3,霜,5,雨,6,雷,7
# 珍しい,珍しくない
# 雷 > 霜 = 霧 >> 雪 >> 強風 = 雨 >> 晴天
雷,1,霜,2,霧,2,雪,4,強風,5,雨,5,晴天,7
# 好きだ,嫌いだ
# 牛肉 >> 馬肉 >> 鶏肉 >> ラム肉 = 豚肉
牛肉,1,馬肉,2,鶏肉,3,ラム肉,4,豚肉,4
# 高価だ,安価だ
# 牛肉 > 馬肉 >> ラム肉 = 豚肉 >> 鶏肉
牛肉,1,馬肉,2,ラム肉,3,豚肉,3,鶏肉,5
# 有名だ,無名だ
# 中尊寺 >> 銀閣寺 = 善光寺 > 薬師寺 > 増上寺 >> 東寺
中尊寺,1,銀閣寺,2,善光寺,2,薬師寺,4,増上寺,5,東寺,6
# 立派だ,立派でない
# 中尊寺 > 善光寺 = 銀閣寺 = 薬師寺 > 増上寺 >> 東寺
中尊寺,1,善光寺,2,銀閣寺,2,薬師寺,2,増上寺,5,東寺,6
# メジャーだ,マイナーだ
# サッカー >> バスケ > テニス >> 野球 > バレー >> 卓球 >> 相撲
サッカー,1,バスケ,2,テニス,3,野球,4,バレー,5,卓球,6,相撲,7
# 得意だ,苦手だ
# サッカー > 野球 >> テニス = 卓球 > バレー >> 相撲 >> バスケ
サッカー,1,野球,2,テニス,3,卓球,3,バレー,5,相撲,6,バスケ,7
# 快適だ,不快だ
# 飛行機 >> 新幹線 >> 電車 >> バス >> タクシー
飛行機,1,新幹線,2,電車,3,バス,4,タクシー,5
# 速い,遅い
# 飛行機 >> 新幹線 >> 電車 >> タクシー >> バス
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,5
# 安全だ,危険だ
# 新幹線 > 電車 >> 飛行機 >> バス > タクシー
新幹線,1,電車,2,飛行機,3,バス,4,タクシー,5
# 可愛い,可愛くない
# 吹石一恵 > 北乃きい > 南明奈 > 梨花 = 優香 > 釈由美子 = 友近
吹石一恵,1,北乃きい,2,南明奈,3,梨花,4,優香,4,釈由美子,6,友近,6
# 面白い,つまらない
# 友近 >> 優香 = 北乃きい = 南明奈 >> 梨花 = 釈由美子 = 吹石一恵
友近,1,優香,2,北乃きい,2,南明奈,2,梨花,5,釈由美子,5,吹石一恵,5
# 甘い,甘くない
# ショートケーキ > ロールケーキ >> チーズケーキ >> シフォンケーキ = チョコレートケーキ
ショートケーキ,1,ロールケーキ,2,チーズケーキ,3,シフォンケーキ,4,チョコレートケーキ,4
# 好きだ,嫌いだ
# ロールケーキ > ショートケーキ > チーズケーキ > シフォンケーキ >> チョコレートケーキ
ロールケーキ,1,ショートケーキ,2,チーズケーキ,3,シフォンケーキ,4,チョコレートケーキ,5
# 美味しい,不味い
# マフィン >> マカロン = スコーン = カステラ >> ベーグル
マフィン,1,マカロン,2,スコーン,2,カステラ,2,ベーグル,5
# おしゃれだ,おしゃれでない
# マカロン >> マフィン > ベーグル >> スコーン >> カステラ
マカロン,1,マフィン,2,ベーグル,3,スコーン,4,カステラ,5
# 美味しい,不味い
# ココア > 抹茶 = 紅茶 > 緑茶 = オレンジジュース
ココア,1,抹茶,2,紅茶,2,緑茶,4,オレンジジュース,4
# 好きだ,嫌いだ
# 牛タン > お好み焼き >> 讃岐うどん > 串かつ >> カツカレー
牛タン,1,お好み焼き,2,讃岐うどん,3,串かつ,4,カツカレー,5
# 高価だ,安価だ
# 牛タン >> カツカレー = お好み焼き >> 讃岐うどん = 串かつ
牛タン,1,カツカレー,2,お好み焼き,2,讃岐うどん,4,串かつ,4
# 暖かい,寒い
# 沖縄 >> 名古屋 > 東京 = 大阪 = 福岡 = 神戸 >> 札幌
沖縄,1,名古屋,2,東京,3,大阪,3,福岡,3,神戸,3,札幌,7
# 遠い,近い
# 沖縄 > 札幌 >> 福岡 >> 神戸 = 大阪 > 名古屋 >> 東京
沖縄,1,札幌,2,福岡,3,神戸,4,大阪,4,名古屋,6,東京,7
# ヘルシーだ,ヘルシーでない
# タイ料理 >> インド料理 = 中華料理 >> 韓国料理 >> スペイン料理
タイ料理,1,インド料理,2,中華料理,2,韓国料理,4,スペイン料理,5
# 辛い,辛くない
# 中華料理 > 韓国料理 >> インド料理 >> タイ料理 = スペイン料理
中華料理,1,韓国料理,2,インド料理,3,タイ料理,4,スペイン料理,4
# 優秀だ,優秀でない
# 宇宙飛行士 >> 医師 = 科学者 = 作曲者 >> 警察官
宇宙飛行士,1,医師,2,科学者,2,作曲者,2,警察官,5
# 過酷だ,過酷でない
# 宇宙飛行士 > 医師 >> 警察官 >> 科学者 >> 作曲者
宇宙飛行士,1,医師,2,警察官,3,科学者,4,作曲者,5
# 面白い,つまらない
# 風の谷のナウシカ >> スター・ウォーズ > 美女と野獣 = 不思議の国のアリス >> となりのトトロ
風の谷のナウシカ,1,スター・ウォーズ,2,美女と野獣,3,不思議の国のアリス,3,となりのトトロ,5
# 新しい,古い
# スター・ウォーズ > 美女と野獣 > となりのトトロ > 不思議の国のアリス = 風の谷のナウシカ
スター・ウォーズ,1,美女と野獣,2,となりのトトロ,3,不思議の国のアリス,4,風の谷のナウシカ,4
# 必須だ,無駄だ
# 数学 > 国語 > 英語 = 世界史 >> 体育
数学,1,国語,2,英語,3,世界史,3,体育,5
# 簡単だ,難しい
# 体育 >> 数学 > 英語 = 国語 > 世界史
体育,1,数学,2,英語,3,国語,3,世界史,5
# 楽しい,楽しくない
# 読書 >> ドライブ >> BBQ = ジョギング >> サーフィン >> 釣り
読書,1,ドライブ,2,BBQ,3,ジョギング,3,サーフィン,5,釣り,6
# 有意義だ,有意義でない
# 読書 >> ジョギング > ドライブ >> サーフィン = BBQ >> 釣り
読書,1,ジョギング,2,ドライブ,3,サーフィン,4,BBQ,4,釣り,6
# 手軽だ,手軽でない
# 読書 > ジョギング >> ドライブ >> BBQ >> サーフィン = 釣り
読書,1,ジョギング,2,ドライブ,3,BBQ,4,サーフィン,5,釣り,5
# 面白い,つまらない
# Youtube >> インスタグラム >> Facebook = Twitter >> ニコ動
Youtube,1,インスタグラム,2,Facebook,3,Twitter,3,ニコ動,5
# 便利だ,便利でない
# Facebook > Youtube >> Twitter >> インスタグラム >> ニコ動
Facebook,1,Youtube,2,Twitter,3,インスタグラム,4,ニコ動,5
# 面白い,つまらない
# ドラゴンボール > ジョジョ > エヴァ = GTO >> プリキュア > セーラームーン
ドラゴンボール,1,ジョジョ,2,エヴァ,3,GTO,3,プリキュア,5,セーラームーン,6
# 若い,若くない
# 安倍晋三 >> 麻生太郎 = 鳩山由紀夫 > 小泉純一郎 >> 田中角栄
安倍晋三,1,麻生太郎,2,鳩山由紀夫,2,小泉純一郎,4,田中角栄,5
# 好きだ,嫌いだ
# 安倍晋三 = 麻生太郎 = 小泉純一郎 = 田中角栄 >> 鳩山由紀夫
安倍晋三,1,麻生太郎,1,小泉純一郎,1,田中角栄,1,鳩山由紀夫,5
# 好調だ,不調だ
# アップル >> グーグル >> サムスン = マイクロソフト >> ヤフー
アップル,1,グーグル,2,サムスン,3,マイクロソフト,3,ヤフー,5
# 不可欠だ,不要だ
# アップル = グーグル > マイクロソフト >> サムスン >> ヤフー
アップル,1,グーグル,1,マイクロソフト,3,サムスン,4,ヤフー,5
# 偉大だ,偉大でない
# エジソン = ニュートン > 坂本龍馬 = 聖徳太子 > 宮沢賢治
エジソン,1,ニュートン,1,坂本龍馬,3,聖徳太子,3,宮沢賢治,5
# 好きだ,嫌いだ
# 宮沢賢治 > エジソン = 坂本龍馬 > ニュートン = 聖徳太子
宮沢賢治,1,エジソン,2,坂本龍馬,2,ニュートン,4,聖徳太子,4
# 面白い,つまらない
# 明石家さんま > ビートたけし = タモリ >> 所ジョージ >> 島田紳助
明石家さんま,1,ビートたけし,2,タモリ,2,所ジョージ,4,島田紳助,5
# 若い,若くない
# 所ジョージ = 明石家さんま >> 島田紳助 >> タモリ >> ビートたけし
所ジョージ,1,明石家さんま,1,島田紳助,3,タモリ,4,ビートたけし,5
# 貴重だ,貴重でない
# 出雲大社 >> 皇居 >> 琵琶湖 >> 大阪城 >> 通天閣
出雲大社,1,皇居,2,琵琶湖,3,大阪城,4,通天閣,5
# 新しい,古い
# 江戸時代 >> 鎌倉時代 >> 平安時代 >> 奈良時代 >> 弥生時代
江戸時代,1,鎌倉時代,2,平安時代,3,奈良時代,4,弥生時代,5
# 長い,短い
# 弥生時代 >> 江戸時代 >> 平安時代 >> 鎌倉時代 >> 奈良時代
弥生時代,1,江戸時代,2,平安時代,3,鎌倉時代,4,奈良時代,5
# 重要だ,重要でない
# 優しさ > 話し方 > 服装 > 髪型 = ルックス
優しさ,1,話し方,2,服装,3,髪型,4,ルックス,4
# 若い,若くない
# 羽生結弦 >> 錦織圭 = 内村航平 > ダルビッシュ >> イチロー
羽生結弦,1,錦織圭,2,内村航平,2,ダルビッシュ,4,イチロー,5
# 素晴らしい,素晴らしくない
# イチロー > 錦織圭 >> 羽生結弦 = 内村航平 > ダルビッシュ
イチロー,1,錦織圭,2,羽生結弦,3,内村航平,3,ダルビッシュ,5
