# 大きい,小さい
# 白鳥 > ふくろう > ペンギン > にわとり > すずめ
白鳥,1,ふくろう,2,ペンギン,3,にわとり,4,すずめ,5
# ルノアール > コメダ > タリーズ > ドトール = サンマルク
ルノアール,1,コメダ,2,タリーズ,3,ドトール,4,サンマルク,4
# 好調だ,不調だ
# ソニー = パナソニック = 東芝 = 富士通 = キャノン = エプソン = 日立製作所
ソニー,1,パナソニック,1,東芝,1,富士通,1,キャノン,1,エプソン,1,日立製作所,1
# 新しい,古い
# ソニー > エプソン > キャノン > 富士通 > 日立製作所 > パナソニック > 東芝
ソニー,1,エプソン,2,キャノン,3,富士通,4,日立製作所,5,パナソニック,6,東芝,7
# 裕福だ,貧乏だ
# アメリカ = イギリス > タイ = インド = ロシア = 中国 > スペイン
アメリカ,1,イギリス,1,タイ,3,インド,3,ロシア,3,中国,3,スペイン,7
# 広大だ,せまい
# ロシア > 中国 > アメリカ > インド > スペイン > イギリス > タイ
ロシア,1,中国,2,アメリカ,3,インド,4,スペイン,5,イギリス,6,タイ,7
# 暖かい,寒い
# タイ = インド > スペイン > イギリス > アメリカ > 中国 > ロシア
タイ,1,インド,1,スペイン,3,イギリス,4,アメリカ,5,中国,6,ロシア,7
# 好調だ,不調だ
# ダイハツ > ホンダ > トヨタ > マツダ > ヤマハ
ダイハツ,1,ホンダ,2,トヨタ,3,マツダ,4,ヤマハ,5
# 有名だ,無名だ
# トヨタ = ホンダ = ヤマハ > マツダ = ダイハツ
トヨタ,1,ホンダ,1,ヤマハ,1,マツダ,4,ダイハツ,4
# 美味しい,不味い
# 日本酒 > ハイボール = ビール > ウイスキー > チューハイ
日本酒,1,ハイボール,2,ビール,2,ウイスキー,4,チューハイ,5
# 高価だ,安価だ
# ウイスキー = 日本酒 >> ハイボール > ビール > チューハイ
ウイスキー,1,日本酒,1,ハイボール,3,ビール,4,チューハイ,5
# 好きだ,嫌いだ
# ラーメン > カレー = ピザ > ハンバーガー > チャーハン
ラーメン,1,カレー,2,ピザ,2,ハンバーガー,4,チャーハン,5
# 脂っこい,脂っこくない
# ピザ > ハンバーガー > チャーハン > カレー > ラーメン
ピザ,1,ハンバーガー,2,チャーハン,3,カレー,4,ラーメン,5
# 高価だ,安価だ
# エアコン > 洗濯機 > カメラ > プリンタ = カーナビ
エアコン,1,洗濯機,2,カメラ,3,プリンタ,4,カーナビ,4
# うるさい,静かだ
# エアコン > 洗濯機 > プリンタ > カーナビ > カメラ
エアコン,1,洗濯機,2,プリンタ,3,カーナビ,4,カメラ,5
# 好きだ,嫌いだ
# 晴天 > 雪 > 霜 > 霧 > 雷 > 雨 >> 強風
晴天,1,雪,2,霜,3,霧,4,雷,5,雨,6,強風,7
# 珍しい,珍しくない
# 霧 > 雷 > 雪 > 霜 > 強風 > 雨 > 晴天
霧,1,雷,2,雪,3,霜,4,強風,5,雨,6,晴天,7
# 好きだ,嫌いだ
# 鶏肉 = ラム肉 > 馬肉 > 豚肉 > 牛肉
鶏肉,1,ラム肉,1,馬肉,3,豚肉,4,牛肉,5
# 高価だ,安価だ
# 馬肉 > ラム肉 > 牛肉 > 豚肉 > 鶏肉
馬肉,1,ラム肉,2,牛肉,3,豚肉,4,鶏肉,5
# 有名だ,無名だ
# 中尊寺 > 銀閣寺 > 善光寺 = 薬師寺 = 東寺 > 増上寺
中尊寺,1,銀閣寺,2,善光寺,3,薬師寺,3,東寺,3,増上寺,6
# 立派だ,立派でない
# 中尊寺 > 銀閣寺 > 善光寺 = 薬師寺 > 増上寺 = 東寺
中尊寺,1,銀閣寺,2,善光寺,3,薬師寺,3,増上寺,5,東寺,5
# メジャーだ,マイナーだ
# 野球 > サッカー > バスケ = バレー > テニス = 卓球 > 相撲
野球,1,サッカー,2,バスケ,3,バレー,3,テニス,5,卓球,5,相撲,7
# 得意だ,苦手だ
# 卓球 = バスケ = テニス = バレー = サッカー = 野球 >> 相撲
卓球,1,バスケ,1,テニス,1,バレー,1,サッカー,1,野球,1,相撲,7
# 快適だ,不快だ
# 飛行機 = 新幹線 > タクシー > 電車 = バス
飛行機,1,新幹線,1,タクシー,3,電車,4,バス,4
# 速い,遅い
# 飛行機 > 新幹線 > 電車 > タクシー > バス
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,5
# 安全だ,危険だ
# 飛行機 = 新幹線 = 電車 = タクシー = バス
飛行機,1,新幹線,1,電車,1,タクシー,1,バス,1
# 可愛い,可愛くない
# 吹石一恵 > 釈由美子 > 北乃きい > 友近 > 梨花 > 南明奈 > 優香
吹石一恵,1,釈由美子,2,北乃きい,3,友近,4,梨花,5,南明奈,6,優香,7
# 面白い,つまらない
# 友近 > 吹石一恵 > 北乃きい = 梨花 = 釈由美子 = 優香 = 南明奈
友近,1,吹石一恵,2,北乃きい,3,梨花,3,釈由美子,3,優香,3,南明奈,3
# 甘い,甘くない
# チョコレートケーキ > ショートケーキ > チーズケーキ = ロールケーキ > シフォンケーキ
チョコレートケーキ,1,ショートケーキ,2,チーズケーキ,3,ロールケーキ,3,シフォンケーキ,5
# 好きだ,嫌いだ
# チーズケーキ > ロールケーキ > シフォンケーキ > ショートケーキ > チョコレートケーキ
チーズケーキ,1,ロールケーキ,2,シフォンケーキ,3,ショートケーキ,4,チョコレートケーキ,5
# 美味しい,不味い
# ベーグル > マフィン > スコーン > カステラ > マカロン
ベーグル,1,マフィン,2,スコーン,3,カステラ,4,マカロン,5
# おしゃれだ,おしゃれでない
# マカロン > スコーン = ベーグル = マフィン > カステラ
マカロン,1,スコーン,2,ベーグル,2,マフィン,2,カステラ,5
# 美味しい,不味い
# オレンジジュース > 紅茶 = ココア > 緑茶 > 抹茶
オレンジジュース,1,紅茶,2,ココア,2,緑茶,4,抹茶,5
# 好きだ,嫌いだ
# 讃岐うどん > カツカレー > 牛タン > お好み焼き = 串かつ
讃岐うどん,1,カツカレー,2,牛タン,3,お好み焼き,4,串かつ,4
# 高価だ,安価だ
# 牛タン = 串かつ > 讃岐うどん = お好み焼き = カツカレー
牛タン,1,串かつ,1,讃岐うどん,3,お好み焼き,3,カツカレー,3
# 暖かい,寒い
# 沖縄 > 名古屋 > 東京 > 福岡 > 大阪 > 神戸 > 札幌
沖縄,1,名古屋,2,東京,3,福岡,4,大阪,5,神戸,6,札幌,7
# 遠い,近い
# 沖縄 > 札幌 > 福岡 > 神戸 > 大阪 > 名古屋 > 東京
沖縄,1,札幌,2,福岡,3,神戸,4,大阪,5,名古屋,6,東京,7
# ヘルシーだ,ヘルシーでない
# タイ料理 > スペイン料理 = インド料理 > 韓国料理 > 中華料理
タイ料理,1,スペイン料理,2,インド料理,2,韓国料理,4,中華料理,5
# 辛い,辛くない
# タイ料理 > 韓国料理 > 中華料理 > インド料理 > スペイン料理
タイ料理,1,韓国料理,2,中華料理,3,インド料理,4,スペイン料理,5
# 優秀だ,優秀でない
# 警察官 = 医師 = 科学者 = 宇宙飛行士 = 作曲者
警察官,1,医師,1,科学者,1,宇宙飛行士,1,作曲者,1
# 過酷だ,過酷でない
# 警察官 = 医師 = 科学者 = 宇宙飛行士 = 作曲者
警察官,1,医師,1,科学者,1,宇宙飛行士,1,作曲者,1
# 面白い,つまらない
# 不思議の国のアリス = 美女と野獣 = となりのトトロ = 風の谷のナウシカ = スター・ウォーズ
不思議の国のアリス,1,美女と野獣,1,となりのトトロ,1,風の谷のナウシカ,1,スター・ウォーズ,1
# 新しい,古い
# 不思議の国のアリス > 風の谷のナウシカ > スター・ウォーズ > となりのトトロ > 美女と野獣
不思議の国のアリス,1,風の谷のナウシカ,2,スター・ウォーズ,3,となりのトトロ,4,美女と野獣,5
# 必須だ,無駄だ
# 数学 = 英語 = 体育 = 国語 = 世界史
数学,1,英語,1,体育,1,国語,1,世界史,1
# 簡単だ,難しい
# 国語 > 英語 > 体育 > 世界史 > 数学
国語,1,英語,2,体育,3,世界史,4,数学,5
# 楽しい,楽しくない
# 読書 = 釣り > ＢＢＱ = ドライブ > ジョギング > サーフィン
読書,1,釣り,1,ＢＢＱ,3,ドライブ,3,ジョギング,5,サーフィン,6
# 有意義だ,有意義でない
# 読書 = 釣り = ジョギング = サーフィン = ＢＢＱ > ドライブ
読書,1,釣り,1,ジョギング,1,サーフィン,1,ＢＢＱ,1,ドライブ,6
# 手軽だ,手軽でない
# 読書 > 釣り = ジョギング = ＢＢＱ = ドライブ > サーフィン
読書,1,釣り,2,ジョギング,2,ＢＢＱ,2,ドライブ,2,サーフィン,6
# 面白い,つまらない
# Ｆａｃｅｂｏｏｋ = Ｔｗｉｔｔｅｒ > Ｙｏｕｔｕｂｅ > インスタグラム > ニコ動
Ｆａｃｅｂｏｏｋ,1,Ｔｗｉｔｔｅｒ,1,Ｙｏｕｔｕｂｅ,3,インスタグラム,4,ニコ動,5
# 便利だ,便利でない
# Ｆａｃｅｂｏｏｋ = Ｔｗｉｔｔｅｒ > Ｙｏｕｔｕｂｅ > インスタグラム > ニコ動
Ｆａｃｅｂｏｏｋ,1,Ｔｗｉｔｔｅｒ,1,Ｙｏｕｔｕｂｅ,3,インスタグラム,4,ニコ動,5
# 面白い,つまらない
# ドラゴンボール = セーラームーン > ジョジョ > エヴァ = ＧＴＯ > プリキュア
ドラゴンボール,1,セーラームーン,1,ジョジョ,3,エヴァ,4,ＧＴＯ,4,プリキュア,6
# 若い,若くない
# 安倍晋三 > 鳩山由紀夫 > 小泉純一郎 = 田中角栄 > 麻生太郎
安倍晋三,1,鳩山由紀夫,2,小泉純一郎,3,田中角栄,3,麻生太郎,5
# 好きだ,嫌いだ
# 麻生太郎 > 鳩山由紀夫 = 小泉純一郎 > 田中角栄 > 安倍晋三
麻生太郎,1,鳩山由紀夫,2,小泉純一郎,2,田中角栄,4,安倍晋三,5
# 好調だ,不調だ
# アップル = グーグル = ヤフー = マイクロソフト > サムスン
アップル,1,グーグル,1,ヤフー,1,マイクロソフト,1,サムスン,5
# 不可欠だ,不要だ
# アップル = グーグル > ヤフー > サムスン = マイクロソフト
アップル,1,グーグル,1,ヤフー,3,サムスン,4,マイクロソフト,4
# 偉大だ,偉大でない
# エジソン = 宮沢賢治 = 聖徳太子 = 坂本龍馬 = ニュートン
エジソン,1,宮沢賢治,1,聖徳太子,1,坂本龍馬,1,ニュートン,1
# 好きだ,嫌いだ
# 聖徳太子 > 宮沢賢治 > エジソン > 坂本龍馬 > ニュートン
聖徳太子,1,宮沢賢治,2,エジソン,3,坂本龍馬,4,ニュートン,5
# 面白い,つまらない
# タモリ > ビートたけし = 明石家さんま > 所ジョージ >> 島田紳助
タモリ,1,ビートたけし,2,明石家さんま,2,所ジョージ,4,島田紳助,5
# 若い,若くない
# 島田紳助 > 明石家さんま > 所ジョージ > ビートたけし > タモリ
島田紳助,1,明石家さんま,2,所ジョージ,3,ビートたけし,4,タモリ,5
# 貴重だ,貴重でない
# 琵琶湖 = 出雲大社 > 大阪城 = 皇居 >> 通天閣
琵琶湖,1,出雲大社,1,大阪城,3,皇居,3,通天閣,5
# 印象的だ,印象的でない
# 出雲大社 > 大阪城 = 皇居 > 琵琶湖 > 通天閣
出雲大社,1,大阪城,2,皇居,2,琵琶湖,4,通天閣,5
# 新しい,古い
# 弥生時代 >> 奈良時代 > 平安時代 > 鎌倉時代 > 江戸時代
弥生時代,1,奈良時代,2,平安時代,3,鎌倉時代,4,江戸時代,5
# 長い,短い
# 弥生時代 >> 平安時代 > 江戸時代 > 鎌倉時代 > 奈良時代
弥生時代,1,平安時代,2,江戸時代,3,鎌倉時代,4,奈良時代,5
# 重要だ,重要でない
# 話し方 > 服装 > 髪型 > ルックス = 優しさ
話し方,1,服装,2,髪型,3,ルックス,4,優しさ,4
# 若い,若くない
# 羽生結弦 > 錦織圭 > 内村航平 > ダルビッシュ > イチロー
羽生結弦,1,錦織圭,2,内村航平,3,ダルビッシュ,4,イチロー,5
# 素晴らしい,素晴らしくない
# イチロー > 内村航平 > 錦織圭 = 羽生結弦 = ダルビッシュ
イチロー,1,内村航平,2,錦織圭,3,羽生結弦,3,ダルビッシュ,3
