# 大きい,小さい
# ペンギン >> にわとり > 白鳥 >> ふくろう >> すずめ
ペンギン,1,にわとり,2,白鳥,3,ふくろう,4,すずめ,5
インド,1,タイ,2,スペイン,3,中国,4,アメリカ,5,イギリス,5,ロシア,7
# 好調だ,不調だ
# トヨタ >> ダイハツ > ヤマハ = ホンダ >> マツダ
トヨタ,1,ダイハツ,2,ヤマハ,3,ホンダ,3,マツダ,5
# 有名だ,無名だ
# ヤマハ >> ホンダ >> トヨタ = マツダ >> ダイハツ
ヤマハ,1,ホンダ,2,トヨタ,3,マツダ,3,ダイハツ,5
# 美味しい,不味い
# ウイスキー >> ハイボール = ビール >> チューハイ > 日本酒
ウイスキー,1,ハイボール,2,ビール,2,チューハイ,4,日本酒,5
# 高価だ,安価だ
# ウイスキー = 日本酒 >> チューハイ > ハイボール >> ビール
ウイスキー,1,日本酒,1,チューハイ,3,ハイボール,4,ビール,5
# 好きだ,嫌いだ
# ピザ >> チャーハン > カレー >> ハンバーガー >> ラーメン
ピザ,1,チャーハン,2,カレー,3,ハンバーガー,4,ラーメン,5
# 脂っこい,脂っこくない
# ラーメン >> チャーハン >> ピザ >> ハンバーガー >> カレー
ラーメン,1,チャーハン,2,ピザ,3,ハンバーガー,4,カレー,5
# 高価だ,安価だ
# カメラ >> 洗濯機 > プリンタ >> エアコン >> カーナビ
カメラ,1,洗濯機,2,プリンタ,3,エアコン,4,カーナビ,5
# うるさい,静かだ
# プリンタ >> カーナビ >> エアコン >> 洗濯機 >> カメラ
プリンタ,1,カーナビ,2,エアコン,3,洗濯機,4,カメラ,5
# 好きだ,嫌いだ
# 晴天 > 強風 >> 雷 >> 霜 >> 雨 = 雪 >> 霧
晴天,1,強風,2,雷,3,霜,4,雨,5,雪,5,霧,7
# 珍しい,珍しくない
# 雷 >> 強風 >> 霧 >> 霜 = 雪 >> 晴天 = 雨
雷,1,強風,2,霧,3,霜,4,雪,4,晴天,6,雨,6
# 好きだ,嫌いだ
# 馬肉 >> ラム肉 = 豚肉 >> 鶏肉 >> 牛肉
馬肉,1,ラム肉,2,豚肉,2,鶏肉,4,牛肉,5
# 高価だ,安価だ
# 馬肉 >> 牛肉 > 鶏肉 >> 豚肉 > ラム肉
馬肉,1,牛肉,2,鶏肉,3,豚肉,4,ラム肉,5
# 有名だ,無名だ
# 銀閣寺 = 善光寺 >> 東寺 >> 中尊寺 >> 薬師寺 = 増上寺
銀閣寺,1,善光寺,1,東寺,3,中尊寺,4,薬師寺,5,増上寺,5
# 立派だ,立派でない
# 銀閣寺 >> 東寺 >> 中尊寺 = 増上寺 >> 善光寺 = 薬師寺
銀閣寺,1,東寺,2,中尊寺,3,増上寺,3,善光寺,5,薬師寺,5
# メジャーだ,マイナーだ
# サッカー = テニス = 野球 >> バスケ >> バレー >> 卓球 >> 相撲
サッカー,1,テニス,1,野球,1,バスケ,4,バレー,5,卓球,6,相撲,7
# 得意だ,苦手だ
# サッカー > 卓球 >> バスケ > 野球 >> テニス = バレー >> 相撲
サッカー,1,卓球,2,バスケ,3,野球,4,テニス,5,バレー,5,相撲,7
# 快適だ,不快だ
# 飛行機 = 新幹線 >> タクシー = バス >> 電車
飛行機,1,新幹線,1,タクシー,3,バス,3,電車,5
# 速い,遅い
# 飛行機 >> 新幹線 >> タクシー >> 電車 > バス
飛行機,1,新幹線,2,タクシー,3,電車,4,バス,5
# 安全だ,危険だ
# タクシー = バス >> 新幹線 = 電車 >> 飛行機
タクシー,1,バス,1,新幹線,3,電車,3,飛行機,5
# 可愛い,可愛くない
# 優香 > 吹石一恵 > 梨花 >> 北乃きい = 南明奈 > 釈由美子 >> 友近
優香,1,吹石一恵,2,梨花,3,北乃きい,4,南明奈,4,釈由美子,6,友近,7
# 面白い,つまらない
# 友近 > 優香 >> 南明奈 = 梨花 >> 吹石一恵 >> 北乃きい = 釈由美子
友近,1,優香,2,南明奈,3,梨花,3,吹石一恵,5,北乃きい,6,釈由美子,6
# 甘い,甘くない
# ショートケーキ >> チョコレートケーキ >> チーズケーキ >> ロールケーキ = シフォンケーキ
ショートケーキ,1,チョコレートケーキ,2,チーズケーキ,3,ロールケーキ,4,シフォンケーキ,4
# 好きだ,嫌いだ
# チョコレートケーキ > チーズケーキ >> シフォンケーキ >> ロールケーキ >> ショートケーキ
チョコレートケーキ,1,チーズケーキ,2,シフォンケーキ,3,ロールケーキ,4,ショートケーキ,5
# 美味しい,不味い
# スコーン >> マカロン >> ベーグル >> カステラ >> マフィン
スコーン,1,マカロン,2,ベーグル,3,カステラ,4,マフィン,5
# おしゃれだ,おしゃれでない
# マカロン >> マフィン > カステラ >> スコーン >> ベーグル
マカロン,1,マフィン,2,カステラ,3,スコーン,4,ベーグル,5
# 美味しい,不味い
# ココア = 抹茶 = 紅茶 >> 緑茶 >> オレンジジュース
ココア,1,抹茶,1,紅茶,1,緑茶,4,オレンジジュース,5
# 好きだ,嫌いだ
# カツカレー >> 牛タン = 串かつ >> 讃岐うどん >> お好み焼き
カツカレー,1,牛タン,2,串かつ,2,讃岐うどん,4,お好み焼き,5
# 高価だ,安価だ
# お好み焼き >> カツカレー >> 牛タン > 讃岐うどん >> 串かつ
お好み焼き,1,カツカレー,2,牛タン,3,讃岐うどん,4,串かつ,5
# 暖かい,寒い
# 沖縄 >> 大阪 = 神戸 >> 東京 = 名古屋 >> 福岡 >> 札幌
沖縄,1,大阪,2,神戸,2,東京,4,名古屋,4,福岡,6,札幌,7
# 遠い,近い
# 沖縄 >> 東京 > 名古屋 > 福岡 >> 札幌 > 大阪 = 神戸
沖縄,1,東京,2,名古屋,3,福岡,4,札幌,5,大阪,6,神戸,6
# ヘルシーだ,ヘルシーでない
# タイ料理 >> スペイン料理 >> インド料理 = 中華料理 >> 韓国料理
タイ料理,1,スペイン料理,2,インド料理,3,中華料理,3,韓国料理,5
# 辛い,辛くない
# 中華料理 > インド料理 >> 韓国料理 >> スペイン料理 = タイ料理
中華料理,1,インド料理,2,韓国料理,3,スペイン料理,4,タイ料理,4
# 優秀だ,優秀でない
# 科学者 >> 医師 >> 宇宙飛行士 >> 警察官 > 作曲者
科学者,1,医師,2,宇宙飛行士,3,警察官,4,作曲者,5
# 過酷だ,過酷でない
# 科学者 >> 医師 >> 宇宙飛行士 >> 警察官 > 作曲者
科学者,1,医師,2,宇宙飛行士,3,警察官,4,作曲者,5
# 面白い,つまらない
# スター・ウォーズ >> 不思議の国のアリス >> となりのトトロ > 風の谷のナウシカ >> 美女と野獣
スター・ウォーズ,1,不思議の国のアリス,2,となりのトトロ,3,風の谷のナウシカ,4,美女と野獣,5
# 新しい,古い
# 美女と野獣 >> 風の谷のナウシカ = となりのトトロ >> スター・ウォーズ >> 不思議の国のアリス
美女と野獣,1,風の谷のナウシカ,2,となりのトトロ,2,スター・ウォーズ,4,不思議の国のアリス,5
# 必須だ,無駄だ
# 国語 > 数学 = 英語 >> 世界史 >> 体育
国語,1,数学,2,英語,2,世界史,4,体育,5
# 簡単だ,難しい
# 体育 > 世界史 >> 国語 >> 英語 > 数学
体育,1,世界史,2,国語,3,英語,4,数学,5
# 楽しい,楽しくない
# 読書 >> ＢＢＱ > ジョギング >> サーフィン >> ドライブ >> 釣り
読書,1,ＢＢＱ,2,ジョギング,3,サーフィン,4,ドライブ,5,釣り,6
# 有意義だ,有意義でない
# 読書 >> ジョギング >> サーフィン >> ＢＢＱ >> ドライブ > 釣り
読書,1,ジョギング,2,サーフィン,3,ＢＢＱ,4,ドライブ,5,釣り,6
# 手軽だ,手軽でない
# 読書 >> ＢＢＱ >> ドライブ > サーフィン >> ジョギング > 釣り
読書,1,ＢＢＱ,2,ドライブ,3,サーフィン,4,ジョギング,5,釣り,6
# 面白い,つまらない
# Ｔｗｉｔｔｅｒ > Ｙｏｕｔｕｂｅ >> インスタグラム > Ｆａｃｅｂｏｏｋ = ニコ動
Ｔｗｉｔｔｅｒ,1,Ｙｏｕｔｕｂｅ,2,インスタグラム,3,Ｆａｃｅｂｏｏｋ,4,ニコ動,4
# 便利だ,便利でない
# Ｔｗｉｔｔｅｒ > Ｙｏｕｔｕｂｅ >> Ｆａｃｅｂｏｏｋ > インスタグラム >> ニコ動
Ｔｗｉｔｔｅｒ,1,Ｙｏｕｔｕｂｅ,2,Ｆａｃｅｂｏｏｋ,3,インスタグラム,4,ニコ動,5
# 面白い,つまらない
# エヴァ >> ドラゴンボール > セーラームーン >> ＧＴＯ > プリキュア >> ジョジョ
エヴァ,1,ドラゴンボール,2,セーラームーン,3,ＧＴＯ,4,プリキュア,5,ジョジョ,6
# 若い,若くない
# 安倍晋三 > 麻生太郎 >> 鳩山由紀夫 = 小泉純一郎 >> 田中角栄
安倍晋三,1,麻生太郎,2,鳩山由紀夫,3,小泉純一郎,3,田中角栄,5
# 好きだ,嫌いだ
# 田中角栄 >> 鳩山由紀夫 >> 小泉純一郎 > 麻生太郎 >> 安倍晋三
田中角栄,1,鳩山由紀夫,2,小泉純一郎,3,麻生太郎,4,安倍晋三,5
# 好調だ,不調だ
# グーグル >> ヤフー >> サムスン >> マイクロソフト = アップル
グーグル,1,ヤフー,2,サムスン,3,マイクロソフト,4,アップル,4
# 不可欠だ,不要だ
# グーグル >> アップル >> ヤフー >> マイクロソフト = サムスン
グーグル,1,アップル,2,ヤフー,3,マイクロソフト,4,サムスン,4
# 偉大だ,偉大でない
# ニュートン > エジソン >> 宮沢賢治 >> 聖徳太子 >> 坂本龍馬
ニュートン,1,エジソン,2,宮沢賢治,3,聖徳太子,4,坂本龍馬,5
# 好きだ,嫌いだ
# エジソン > ニュートン >> 聖徳太子 >> 坂本龍馬 >> 宮沢賢治
エジソン,1,ニュートン,2,聖徳太子,3,坂本龍馬,4,宮沢賢治,5
# 面白い,つまらない
# 島田紳助 = 明石家さんま >> 所ジョージ > ビートたけし > タモリ
島田紳助,1,明石家さんま,1,所ジョージ,3,ビートたけし,4,タモリ,5
# 若い,若くない
# 明石家さんま > 所ジョージ >> タモリ > ビートたけし = 島田紳助
明石家さんま,1,所ジョージ,2,タモリ,3,ビートたけし,4,島田紳助,4
# 貴重だ,貴重でない
# 皇居 >> 出雲大社 >> 通天閣 >> 琵琶湖 >> 大阪城
皇居,1,出雲大社,2,通天閣,3,琵琶湖,4,大阪城,5
# 印象的だ,印象的でない
# 皇居 > 出雲大社 > 琵琶湖 >> 大阪城 = 通天閣
皇居,1,出雲大社,2,琵琶湖,3,大阪城,4,通天閣,4
# 新しい,古い
# 江戸時代 >> 奈良時代 > 鎌倉時代 = 平安時代 >> 弥生時代
江戸時代,1,奈良時代,2,鎌倉時代,3,平安時代,3,弥生時代,5
# 長い,短い
# 江戸時代 > 弥生時代 >> 平安時代 > 奈良時代 >> 鎌倉時代
江戸時代,1,弥生時代,2,平安時代,3,奈良時代,4,鎌倉時代,5
# 重要だ,重要でない
# 優しさ = ルックス >> 話し方 >> 髪型 = 服装
優しさ,1,ルックス,1,話し方,3,髪型,4,服装,4
# 若い,若くない
# 羽生結弦 >> 内村航平 > 錦織圭 >> ダルビッシュ >> イチロー
羽生結弦,1,内村航平,2,錦織圭,3,ダルビッシュ,4,イチロー,5
# 素晴らしい,素晴らしくない
# 錦織圭 > 羽生結弦 > イチロー >> ダルビッシュ > 内村航平
錦織圭,1,羽生結弦,2,イチロー,3,ダルビッシュ,4,内村航平,5
