# 大きい,小さい
# 白鳥 > ふくろう > ペンギン > にわとり >> すずめ
白鳥,1,ふくろう,2,ペンギン,3,にわとり,4,すずめ,5
霜,1,雪,2,霧,3,雷,4,晴天,5,雨,5,強風,5
# 好きだ,嫌いだ
# 鶏肉 = 豚肉 > 牛肉 >> ラム肉 > 馬肉
鶏肉,1,豚肉,1,牛肉,3,ラム肉,4,馬肉,5
# 高価だ,安価だ
# 牛肉 > ラム肉 = 馬肉 > 豚肉 > 鶏肉
牛肉,1,ラム肉,2,馬肉,2,豚肉,4,鶏肉,5
# 有名だ,無名だ
# 銀閣寺 >> 薬師寺 > 中尊寺 = 善光寺 >> 東寺 = 増上寺
銀閣寺,1,薬師寺,2,中尊寺,3,善光寺,3,東寺,5,増上寺,5
# 立派だ,立派でない
# 銀閣寺 >> 薬師寺 > 善光寺 > 増上寺 > 中尊寺 > 東寺
銀閣寺,1,薬師寺,2,善光寺,3,増上寺,4,中尊寺,5,東寺,6
# メジャーだ,マイナーだ
# 野球 = サッカー > テニス > バレー > バスケ > 卓球 = 相撲
野球,1,サッカー,1,テニス,3,バレー,4,バスケ,5,卓球,6,相撲,6
# 得意だ,苦手だ
# バレー > テニス = バスケ > 卓球 > 野球 >> サッカー > 相撲
バレー,1,テニス,2,バスケ,2,卓球,4,野球,5,サッカー,6,相撲,7
# 快適だ,不快だ
# 新幹線 >> 飛行機 > タクシー > 電車 = バス
新幹線,1,飛行機,2,タクシー,3,電車,4,バス,4
# 速い,遅い
# 飛行機 >> 新幹線 >> 電車 > タクシー > バス
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,5
# 安全だ,危険だ
# 新幹線 > 電車 = バス >> 飛行機 > タクシー
新幹線,1,電車,2,バス,2,飛行機,4,タクシー,5
# 可愛い,可愛くない
# 北乃きい > 優香 > 南明奈 > 釈由美子 >> 吹石一恵 > 友近 >> 梨花
北乃きい,1,優香,2,南明奈,3,釈由美子,4,吹石一恵,5,友近,6,梨花,7
# 面白い,つまらない
# 友近 > 優香 = 南明奈 = 北乃きい > 釈由美子 = 吹石一恵 > 梨花
友近,1,優香,2,南明奈,2,北乃きい,2,釈由美子,5,吹石一恵,5,梨花,7
# 甘い,甘くない
# チョコレートケーキ > ロールケーキ = ショートケーキ > チーズケーキ > シフォンケーキ
チョコレートケーキ,1,ロールケーキ,2,ショートケーキ,2,チーズケーキ,4,シフォンケーキ,5
# 好きだ,嫌いだ
# シフォンケーキ = ショートケーキ > チーズケーキ > ロールケーキ > チョコレートケーキ
シフォンケーキ,1,ショートケーキ,1,チーズケーキ,3,ロールケーキ,4,チョコレートケーキ,5
# 美味しい,不味い
# カステラ > マフィン > マカロン > スコーン = ベーグル
カステラ,1,マフィン,2,マカロン,3,スコーン,4,ベーグル,4
# おしゃれだ,おしゃれでない
# マカロン > ベーグル = マフィン = スコーン > カステラ
マカロン,1,ベーグル,2,マフィン,2,スコーン,2,カステラ,5
# 美味しい,不味い
# ココア > 紅茶 = 緑茶 > オレンジジュース > 抹茶
ココア,1,紅茶,2,緑茶,2,オレンジジュース,4,抹茶,5
# 好きだ,嫌いだ
# 讃岐うどん > お好み焼き = カツカレー > 串かつ >> 牛タン
讃岐うどん,1,お好み焼き,2,カツカレー,2,串かつ,4,牛タン,5
# 高価だ,安価だ
# 牛タン >> 串かつ = カツカレー > お好み焼き > 讃岐うどん
牛タン,1,串かつ,2,カツカレー,2,お好み焼き,4,讃岐うどん,5
# 暖かい,寒い
# 沖縄 >> 福岡 > 大阪 = 神戸 = 名古屋 = 東京 >> 札幌
沖縄,1,福岡,2,大阪,3,神戸,3,名古屋,3,東京,3,札幌,7
# 遠い,近い
# 札幌 >> 沖縄 >> 東京 = 名古屋 > 神戸 = 大阪 >> 福岡
札幌,1,沖縄,2,東京,3,名古屋,3,神戸,5,大阪,5,福岡,7
# ヘルシーだ,ヘルシーでない
# インド料理 = タイ料理 > スペイン料理 > 韓国料理 >> 中華料理
インド料理,1,タイ料理,1,スペイン料理,3,韓国料理,4,中華料理,5
# 辛い,辛くない
# スペイン料理 > タイ料理 = インド料理 > 韓国料理 > 中華料理
スペイン料理,1,タイ料理,2,インド料理,2,韓国料理,4,中華料理,5
# 優秀だ,優秀でない
# 宇宙飛行士 > 科学者 > 医師 = 警察官 > 作曲者
宇宙飛行士,1,科学者,2,医師,3,警察官,3,作曲者,5
# 過酷だ,過酷でない
# 宇宙飛行士 >> 警察官 = 医師 > 科学者 > 作曲者
宇宙飛行士,1,警察官,2,医師,2,科学者,4,作曲者,5
# 面白い,つまらない
# 風の谷のナウシカ = となりのトトロ = 美女と野獣 > 不思議の国のアリス > スター・ウォーズ
風の谷のナウシカ,1,となりのトトロ,1,美女と野獣,1,不思議の国のアリス,4,スター・ウォーズ,5
# 新しい,古い
# スター・ウォーズ > 不思議の国のアリス > 美女と野獣 > となりのトトロ > 風の谷のナウシカ
スター・ウォーズ,1,不思議の国のアリス,2,美女と野獣,3,となりのトトロ,4,風の谷のナウシカ,5
# 必須だ,無駄だ
# 国語 = 英語 > 数学 > 体育 = 世界史
国語,1,英語,1,数学,3,体育,4,世界史,4
# 簡単だ,難しい
# 国語 > 体育 > 数学 = 世界史 > 英語
国語,1,体育,2,数学,3,世界史,3,英語,5
# 楽しい,楽しくない
# ＢＢＱ = ドライブ > 読書 > 釣り >> サーフィン >> ジョギング
ＢＢＱ,1,ドライブ,1,読書,3,釣り,4,サーフィン,5,ジョギング,6
# 有意義だ,有意義でない
# 読書 = ＢＢＱ > ドライブ > 釣り > ジョギング > サーフィン
読書,1,ＢＢＱ,1,ドライブ,3,釣り,4,ジョギング,5,サーフィン,6
# 手軽だ,手軽でない
# 読書 > 釣り = ドライブ > ジョギング > ＢＢＱ >> サーフィン
読書,1,釣り,2,ドライブ,2,ジョギング,4,ＢＢＱ,5,サーフィン,6
# 面白い,つまらない
# Ｙｏｕｔｕｂｅ > Ｔｗｉｔｔｅｒ > インスタグラム = Ｆａｃｅｂｏｏｋ >> ニコ動
Ｙｏｕｔｕｂｅ,1,Ｔｗｉｔｔｅｒ,2,インスタグラム,3,Ｆａｃｅｂｏｏｋ,3,ニコ動,5
# 便利だ,便利でない
# Ｔｗｉｔｔｅｒ > Ｙｏｕｔｕｂｅ > Ｆａｃｅｂｏｏｋ = インスタグラム > ニコ動
Ｔｗｉｔｔｅｒ,1,Ｙｏｕｔｕｂｅ,2,Ｆａｃｅｂｏｏｋ,3,インスタグラム,3,ニコ動,5
# 面白い,つまらない
# ドラゴンボール > エヴァ > プリキュア = セーラームーン > ＧＴＯ = ジョジョ
ドラゴンボール,1,エヴァ,2,プリキュア,3,セーラームーン,3,ＧＴＯ,5,ジョジョ,5
# 若い,若くない
# 安倍晋三 = 鳩山由紀夫 = 麻生太郎 >> 小泉純一郎 >> 田中角栄
安倍晋三,1,鳩山由紀夫,1,麻生太郎,1,小泉純一郎,4,田中角栄,5
# 好きだ,嫌いだ
# 小泉純一郎 >> 麻生太郎 = 安倍晋三 > 鳩山由紀夫 > 田中角栄
小泉純一郎,1,麻生太郎,2,安倍晋三,2,鳩山由紀夫,4,田中角栄,5
# 好調だ,不調だ
# マイクロソフト = アップル > グーグル = ヤフー >> サムスン
マイクロソフト,1,アップル,1,グーグル,3,ヤフー,3,サムスン,5
# 不可欠だ,不要だ
# マイクロソフト > ヤフー = グーグル > アップル >> サムスン
マイクロソフト,1,ヤフー,2,グーグル,2,アップル,4,サムスン,5
# 偉大だ,偉大でない
# ニュートン = エジソン > 聖徳太子 > 坂本龍馬 >> 宮沢賢治
ニュートン,1,エジソン,1,聖徳太子,3,坂本龍馬,4,宮沢賢治,5
# 好きだ,嫌いだ
# 宮沢賢治 > 聖徳太子 = 坂本龍馬 > エジソン = ニュートン
宮沢賢治,1,聖徳太子,2,坂本龍馬,2,エジソン,4,ニュートン,4
# 面白い,つまらない
# 明石家さんま > タモリ > 所ジョージ >> ビートたけし >> 島田紳助
明石家さんま,1,タモリ,2,所ジョージ,3,ビートたけし,4,島田紳助,5
# 若い,若くない
# 島田紳助 > 所ジョージ = タモリ = 明石家さんま > ビートたけし
島田紳助,1,所ジョージ,2,タモリ,2,明石家さんま,2,ビートたけし,5
# 貴重だ,貴重でない
# 皇居 >> 大阪城 > 琵琶湖 > 出雲大社 = 通天閣
皇居,1,大阪城,2,琵琶湖,3,出雲大社,4,通天閣,4
# 印象的だ,印象的でない
# 通天閣 > 琵琶湖 > 大阪城 = 皇居 > 出雲大社
通天閣,1,琵琶湖,2,大阪城,3,皇居,3,出雲大社,5
# 新しい,古い
# 弥生時代 >> 奈良時代 > 平安時代 > 鎌倉時代 > 江戸時代
弥生時代,1,奈良時代,2,平安時代,3,鎌倉時代,4,江戸時代,5
# 長い,短い
# 江戸時代 >> 弥生時代 > 平安時代 > 鎌倉時代 = 奈良時代
江戸時代,1,弥生時代,2,平安時代,3,鎌倉時代,4,奈良時代,4
# 重要だ,重要でない
# 話し方 = 優しさ > 髪型 > 服装 > ルックス
話し方,1,優しさ,1,髪型,3,服装,4,ルックス,5
# 若い,若くない
# 羽生結弦 >> 錦織圭 > ダルビッシュ > 内村航平 = イチロー
羽生結弦,1,錦織圭,2,ダルビッシュ,3,内村航平,4,イチロー,4
# 素晴らしい,素晴らしくない
# 羽生結弦 = 錦織圭 > イチロー = 内村航平 > ダルビッシュ
羽生結弦,1,錦織圭,1,イチロー,3,内村航平,3,ダルビッシュ,5
